Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),9.1,13.8,-34,D,511.1,729.9,-30,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,9.1,15,-39,D,568.5,957.2,-41,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,14,16.7,-16,N,612.5,1013,-40,D
EAST AND NORTH EAST INDIA,3,NMMT,9.3,13.9,-33,D,527.9,686,-23,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,1.9,15.6,-88,LD,993.3,1011.3,-2,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,7.7,13.2,-41,D,580.5,571.8,2,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,14.1,10.9,29,E,343.2,489.2,-30,D
EAST AND NORTH EAST INDIA,7,BIHAR,2.5,11.2,-78,LD,284.1,485.4,-41,D
NORTH WEST INDIA,,(Region Total),8.6,7.5,15,N,247.2,273.7,-10,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,5.9,9.8,-40,D,253.6,370.4,-32,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,12,8.7,38,E,269.2,304.2,-12,N
NORTH WEST INDIA,3,UTTARAKHAND,12,13.9,-14,N,538.1,566,-5,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,8.1,3.8,113,LE,147.3,197,-25,D
NORTH WEST INDIA,5,PUNJAB,4.3,5.1,-15,N,136.4,204.5,-33,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,11.8,8.8,34,E,324,339.7,-5,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,11.8,7.4,59,E,308.1,251.3,23,E
NORTH WEST INDIA,8,WEST RAJASTHAN,3.5,4,-12,N,126.7,140.1,-10,N
NORTH WEST INDIA,9,EAST RAJASTHAN,10.4,8.3,25,E,233,289.6,-20,D
CENTRAL INDIA,,(Region Total),20.9,10.7,95,LE,468.3,470.7,-1,N
CENTRAL INDIA,1,ODISHA,60.9,10.8,464,LE,709.7,526.4,35,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,7.6,10.1,-25,D,329.8,396.5,-17,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,21.1,11,92,LE,396.7,471,-16,N
CENTRAL INDIA,4,GUJARAT REGION,0.6,15,-96,LD,574.7,451.5,27,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,0.1,7.2,-99,LD,220.3,276.2,-20,D
CENTRAL INDIA,6,KONKAN & GOA,24.7,34.5,-28,D,1738.5,1685.1,3,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,6.1,8,-23,D,448.6,371.6,21,E
CENTRAL INDIA,8,MARATHWADA,10,6.2,62,LE,204.7,292.7,-30,D
CENTRAL INDIA,9,VIDARBHA,16.8,9.2,82,LE,347.1,465.2,-25,D
CENTRAL INDIA,10,CHHATTISGARH,40.4,10.8,274,LE,477.5,534.8,-11,N
SOUTH PENINSULA,,(Region Total),10.3,6.8,51,E,259.7,353.1,-26,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,1.6,13.2,-88,LD,807,777,4,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,7.8,5.5,42,E,166.7,257.9,-35,D
SOUTH PENINSULA,3,TELANGANA,28.5,8,256,LE,272.2,335.3,-19,N
SOUTH PENINSULA,4,RAYALASEEMA,0.6,2.7,-78,LD,104.6,158.9,-34,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,1.1,2.2,-50,D,93.9,115.6,-19,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,23.6,31.7,-25,D,1377.2,1890.6,-27,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,4.3,4.4,-2,N,186.7,214.5,-13,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,5.6,6.6,-15,N,241.4,338.3,-29,D
SOUTH PENINSULA,9,KERALA & MAHE,29.3,20.2,45,E,816,1264.9,-35,D
SOUTH PENINSULA,10,LAKSHADWEEP,0.1,6.5,-99,LD,387.6,611.7,-37,D
COUNTRY AS A WHOLE,,(Country Total),13.2,9.4,40,E,366.1,428.3,-15,N
