Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),7.7,10.3,-26,D,613.8,825.8,-26,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,0.3,9.8,-97,LD,665.5,1053.6,-37,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,4,10.3,-62,LD,723.4,1120.7,-35,D
EAST AND NORTH EAST INDIA,3,NMMT,11.7,11,7,N,636.4,783.6,-19,N
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,6.5,14,-54,D,1171.8,1138.1,3,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,15.6,11.5,35,E,693.9,668.1,4,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,15.2,10.8,40,E,430,581.9,-26,D
EAST AND NORTH EAST INDIA,7,BIHAR,3.6,7.8,-54,D,361.2,560.4,-36,D
NORTH WEST INDIA,,(Region Total),8.7,7.6,14,N,304,337.8,-10,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,10.7,7.3,47,E,325.9,436.7,-25,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,21.7,7,210,LE,341.7,370.3,-8,N
NORTH WEST INDIA,3,UTTARAKHAND,25.3,11.5,120,LE,682.9,689.3,-1,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,7.3,4.7,56,E,192.1,245.2,-22,D
NORTH WEST INDIA,5,PUNJAB,3.9,5.9,-34,D,173.3,262,-34,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,16.5,10.1,64,LE,402.6,425.4,-5,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,1.6,9.6,-84,LD,360.6,322,12,N
NORTH WEST INDIA,8,WEST RAJASTHAN,0.8,3.6,-78,LD,148.9,173,-14,N
NORTH WEST INDIA,9,EAST RAJASTHAN,12.3,9.6,28,E,288.1,359.9,-20,D
CENTRAL INDIA,,(Region Total),9.3,12.4,-25,D,576,573.7,0,N
CENTRAL INDIA,1,ODISHA,31.1,14.3,118,LE,812,643.6,26,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,6.4,12.9,-50,D,409.8,494.2,-17,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,9,15,-40,D,450,584.9,-23,D
CENTRAL INDIA,4,GUJARAT REGION,0.3,10.7,-97,LD,729.9,559.3,30,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,0,6.3,-100,NR,290.8,334.2,-13,N
CENTRAL INDIA,6,KONKAN & GOA,18.6,27.4,-32,D,1933.9,1979.3,-2,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,4.2,8.4,-49,D,590.2,444.8,33,E
CENTRAL INDIA,8,MARATHWADA,2.8,6.6,-58,D,303.6,346.6,-12,N
CENTRAL INDIA,9,VIDARBHA,1.5,13.1,-89,LD,485.7,566.6,-14,N
CENTRAL INDIA,10,CHHATTISGARH,11.7,14.7,-20,D,610.1,651.2,-6,N
SOUTH PENINSULA,,(Region Total),8.4,6.4,31,E,339.1,412.2,-18,N
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,40,14.5,176,LE,959.5,893,7,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,7.4,4.9,50,E,203.2,305.6,-33,D
SOUTH PENINSULA,3,TELANGANA,9.3,6.6,40,E,383.6,404.2,-5,N
SOUTH PENINSULA,4,RAYALASEEMA,5.6,3.3,69,LE,129.9,186.6,-30,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,2.2,2.5,-10,N,119.4,135.6,-12,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,31.6,30.2,5,N,1717.4,2183.7,-21,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,4.5,3.7,20,E,232,251.3,-8,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,4.6,7.3,-36,D,314.1,399.5,-21,D
SOUTH PENINSULA,9,KERALA & MAHE,32.6,18.6,75,LE,1126.6,1426.4,-21,D
SOUTH PENINSULA,10,LAKSHADWEEP,21.5,4.9,339,LE,512.1,674.4,-24,D
COUNTRY AS A WHOLE,,(Country Total),8.6,9.4,-8,N,451.9,509.6,-11,N
