Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),12.1,13.8,-12,N,433.6,638.1,-32,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,8.2,17.2,-53,D,413.5,848.1,-51,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,14.6,15.8,-7,N,571,896.3,-36,D
EAST AND NORTH EAST INDIA,3,NMMT,9.8,11.8,-17,N,411.6,605,-32,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,11.7,20,-41,D,964.7,891.1,8,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,20.6,16,29,E,479.4,490.6,-2,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,17.1,11.5,49,E,279.7,414.9,-33,D
EAST AND NORTH EAST INDIA,7,BIHAR,4.4,8.7,-49,D,255.3,414.4,-38,D
NORTH WEST INDIA,,(Region Total),16.5,7.7,114,LE,192.3,220.8,-13,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,5.9,8.1,-27,D,227.9,311.6,-27,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,6.2,8.2,-24,D,239.3,243.5,-2,N
NORTH WEST INDIA,3,UTTARAKHAND,20.4,13.9,47,E,448.9,466.1,-4,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,8.8,7,26,E,128.8,162.8,-21,D
NORTH WEST INDIA,5,PUNJAB,9.8,5.6,76,LE,105.4,168.3,-37,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,14.6,9,62,LE,250.3,275.4,-9,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,40.3,7.9,410,LE,221.5,198.4,12,N
NORTH WEST INDIA,8,WEST RAJASTHAN,5.3,4.2,26,E,74.2,110.3,-33,D
NORTH WEST INDIA,9,EAST RAJASTHAN,16.5,9.6,72,LE,176.5,225.7,-22,D
CENTRAL INDIA,,(Region Total),25.9,11.8,120,LE,358.9,392.8,-9,N
CENTRAL INDIA,1,ODISHA,36.8,14.7,150,LE,524.7,448.9,17,N
CENTRAL INDIA,2,WEST MADHYA PRADESH,20,11.8,69,LE,288.8,313.2,-8,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,21.7,13.2,65,LE,331.5,392.6,-16,N
CENTRAL INDIA,4,GUJARAT REGION,28.1,10.2,176,LE,300,359.3,-16,N
CENTRAL INDIA,5,SAURASHTRA & KUTCH,4.5,6.4,-30,D,132.8,228.4,-42,D
CENTRAL INDIA,6,KONKAN & GOA,52.5,32.9,60,LE,1463,1446.6,1,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,24.3,6.9,253,LE,341.9,314.1,9,N
CENTRAL INDIA,8,MARATHWADA,17,6.3,169,LE,167.2,248.3,-33,D
CENTRAL INDIA,9,VIDARBHA,36.1,10,261,LE,289.6,392.6,-26,D
CENTRAL INDIA,10,CHHATTISGARH,32.6,15.4,112,LE,380.6,451.4,-16,N
SOUTH PENINSULA,,(Region Total),3.9,6.7,-42,D,225.3,303.9,-26,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,1.6,11.6,-86,LD,769.3,687.4,12,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,2,6.2,-68,LD,144,218.8,-34,D
SOUTH PENINSULA,3,TELANGANA,8.5,6.8,25,E,211.6,276.9,-24,D
SOUTH PENINSULA,4,RAYALASEEMA,1.3,3.5,-64,LD,101.3,135.1,-25,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,0,2.2,-99,LD,90.2,97.5,-8,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,24.5,37.9,-35,D,1160.4,1651.8,-30,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,5.4,3.8,41,E,165.8,184.9,-10,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,1.8,6.9,-74,LD,208.2,290.9,-28,D
SOUTH PENINSULA,9,KERALA & MAHE,4.6,17.6,-74,LD,731.2,1124.2,-35,D
SOUTH PENINSULA,10,LAKSHADWEEP,3.1,6.5,-53,D,381.4,551.7,-31,D
COUNTRY AS A WHOLE,,(Country Total),16.5,9.8,68,LE,293.3,361.5,-19,N
