Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),8.6,13.1,-35,D,502.1,716.1,-30,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,1.8,13.2,-86,LD,559.4,942.2,-41,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,3.1,16.7,-82,LD,598.6,996.3,-40,D
EAST AND NORTH EAST INDIA,3,NMMT,5.3,12.8,-59,D,519.1,672.1,-23,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,1.3,16.2,-92,LD,991.4,995.7,0,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,23.4,11.7,100,LE,572.7,558.6,3,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,22.6,10.9,107,LE,329.1,478.3,-31,D
EAST AND NORTH EAST INDIA,7,BIHAR,3,11.3,-74,LD,281.6,474.2,-41,D
NORTH WEST INDIA,,(Region Total),6.4,8.7,-26,D,238.5,266.2,-10,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,5,11,-55,D,247.3,360.6,-31,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,8.9,10,-11,N,257.2,295.5,-13,N
NORTH WEST INDIA,3,UTTARAKHAND,38.8,16,143,LE,526.1,552.1,-5,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,2.9,6.5,-55,D,139.2,193.2,-28,D
NORTH WEST INDIA,5,PUNJAB,2.8,5.7,-51,D,132,199.4,-34,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,16.2,9.7,67,LE,312.2,330.9,-6,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,3,9.8,-69,LD,296.4,243.9,22,E
NORTH WEST INDIA,8,WEST RAJASTHAN,2.1,3.9,-46,D,123.2,136.1,-9,N
NORTH WEST INDIA,9,EAST RAJASTHAN,4.4,9,-51,D,222.7,281.3,-21,D
CENTRAL INDIA,,(Region Total),17.3,11.6,49,E,447.4,460,-3,N
CENTRAL INDIA,1,ODISHA,49.8,14,256,LE,648.8,515.6,26,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,4.2,11.4,-63,LD,322.3,386.4,-17,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,15.7,11.3,38,E,375.6,460,-18,N
CENTRAL INDIA,4,GUJARAT REGION,9.3,15.2,-39,D,574.2,436.5,32,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,0.6,7.4,-92,LD,220.2,269,-18,N
CENTRAL INDIA,6,KONKAN & GOA,45.6,34.8,31,E,1713.8,1650.6,4,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,10.4,8.4,24,E,442.5,363.6,22,E
CENTRAL INDIA,8,MARATHWADA,6.6,5.8,13,N,194.7,286.5,-32,D
CENTRAL INDIA,9,VIDARBHA,10.2,10,2,N,330.3,456,-28,D
CENTRAL INDIA,10,CHHATTISGARH,25.4,11.3,125,LE,437.1,524,-17,N
SOUTH PENINSULA,,(Region Total),6.1,6.7,-10,N,248.8,346.3,-28,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,5.7,13.3,-57,D,805.4,763.8,5,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,7.7,5.4,42,E,158.9,252.4,-37,D
SOUTH PENINSULA,3,TELANGANA,10.3,6.2,67,LE,240.3,327.3,-27,D
SOUTH PENINSULA,4,RAYALASEEMA,0.2,4.2,-96,LD,104,156.2,-33,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,1.3,2.6,-52,D,92.8,113.4,-18,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,34.7,31.7,9,N,1353.5,1858.9,-27,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,2.8,3.7,-24,D,182.4,210.1,-13,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,3.8,7.5,-50,D,235.8,331.7,-29,D
SOUTH PENINSULA,9,KERALA & MAHE,14.4,20.4,-29,D,786.7,1244.7,-37,D
SOUTH PENINSULA,10,LAKSHADWEEP,4.5,5.4,-16,N,387.6,605.2,-36,D
COUNTRY AS A WHOLE,,(Country Total),10.4,10,4,N,352.9,418.9,-16,N
