Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),9,10.9,-17,N,529.3,752.5,-30,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,6.2,13,-53,D,582.4,983.9,-41,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,9.8,12.6,-22,D,635.4,1038.9,-39,D
EAST AND NORTH EAST INDIA,3,NMMT,17.9,10,79,LE,550.7,707.4,-22,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,16.2,15.7,3,N,1019.7,1042.2,-2,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,12.6,9.5,33,E,606.3,592.7,2,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,3.9,8.9,-56,D,360.1,508.2,-29,D
EAST AND NORTH EAST INDIA,7,BIHAR,3.7,9.4,-60,LD,290.6,503.8,-42,D
NORTH WEST INDIA,,(Region Total),4.7,7,-32,D,254.4,287.8,-12,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,0.9,6.6,-87,LD,254.9,385.2,-34,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,2.6,6.9,-62,LD,273.8,318.9,-14,N
NORTH WEST INDIA,3,UTTARAKHAND,13.7,14.8,-8,N,566.1,594.6,-5,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,2.9,5.3,-45,D,150.6,205.8,-27,D
NORTH WEST INDIA,5,PUNJAB,2.1,6,-65,LD,141.9,215.9,-34,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,13.7,8.4,64,LE,341.5,357,-4,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,8.5,9.6,-11,N,317.6,268.5,18,N
NORTH WEST INDIA,8,WEST RAJASTHAN,0.8,3.3,-74,LD,129.5,147.2,-12,N
NORTH WEST INDIA,9,EAST RAJASTHAN,4.3,6.3,-32,D,241.1,303.3,-20,D
CENTRAL INDIA,,(Region Total),21.8,10.3,112,LE,511.4,491.6,4,N
CENTRAL INDIA,1,ODISHA,4,11.6,-65,LD,735.5,550.7,34,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,26.3,10.1,161,LE,371.5,415.5,-11,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,4.9,10,-51,D,413.7,491.1,-16,N
CENTRAL INDIA,4,GUJARAT REGION,17.7,10.7,65,LE,593.3,473.6,25,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,0.1,6.9,-99,LD,220.4,289.9,-24,D
CENTRAL INDIA,6,KONKAN & GOA,18.7,33.8,-45,D,1767.5,1755,1,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,30,7.8,285,LE,483.4,387.2,25,E
CENTRAL INDIA,8,MARATHWADA,63.3,5.8,991,LE,281.7,305.1,-8,N
CENTRAL INDIA,9,VIDARBHA,72.1,9.2,684,LE,462.8,484.7,-5,N
CENTRAL INDIA,10,CHHATTISGARH,12,10.9,10,N,559.6,557,0,N
SOUTH PENINSULA,,(Region Total),8.6,6.1,40,E,280.1,365.5,-23,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,9.7,12.6,-23,D,824.6,804.6,2,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,4.4,5.4,-18,N,176,268.1,-34,D
SOUTH PENINSULA,3,TELANGANA,21,6.2,239,LE,335.6,349.9,-4,N
SOUTH PENINSULA,4,RAYALASEEMA,0.8,2.9,-73,LD,106.5,164.4,-35,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,1.1,2,-43,D,96.2,119.7,-20,D
SOUTH PENINSULA,6,COASTAL KARNATAKA,22.1,30.9,-28,D,1412,1952.5,-28,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,4.4,3.7,20,E,200.3,221.8,-10,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,7.4,6.4,15,N,253,350.3,-28,D
SOUTH PENINSULA,9,KERALA & MAHE,24.9,18.2,37,E,858.8,1301.8,-34,D
SOUTH PENINSULA,10,LAKSHADWEEP,1.2,6.1,-80,LD,388.9,624.9,-38,D
COUNTRY AS A WHOLE,,(Country Total),11.9,8.6,39,E,389.8,445.8,-13,N
