Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),14.5,13.6,6,N,422,624.3,-32,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,0.7,15.6,-95,LD,406.9,830.9,-51,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,4.1,17.4,-76,LD,552.6,880.5,-37,D
EAST AND NORTH EAST INDIA,3,NMMT,8.1,11.5,-29,D,402.4,593.2,-32,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,44,18.5,138,LE,952.2,871.1,9,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,39.5,13.2,199,LE,458.8,474.6,-3,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,21.5,11.6,85,LE,262.6,403.4,-35,D
EAST AND NORTH EAST INDIA,7,BIHAR,9.9,10,-1,N,256.3,405.7,-37,D
NORTH WEST INDIA,,(Region Total),13.4,7.1,89,LE,175.8,213.1,-18,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,23.8,9.2,159,LE,221.9,303.5,-27,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,17.4,8.5,105,LE,233.2,235.3,-1,N
NORTH WEST INDIA,3,UTTARAKHAND,26,13.7,89,LE,428.5,452.2,-5,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,10.2,6.9,47,E,120,155.8,-23,D
NORTH WEST INDIA,5,PUNJAB,6,6.2,-3,N,95.6,162.7,-41,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,20.6,9.6,114,LE,235.8,266.4,-12,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,15.8,5,217,LE,181.2,190.5,-5,N
NORTH WEST INDIA,8,WEST RAJASTHAN,0.9,3.1,-71,LD,68.9,106.1,-35,D
NORTH WEST INDIA,9,EAST RAJASTHAN,9.9,9.3,6,N,160,216.1,-26,D
CENTRAL INDIA,,(Region Total),16.2,11.5,40,E,332.9,381,-13,N
CENTRAL INDIA,1,ODISHA,19.5,16.7,17,N,487.9,434.2,12,N
CENTRAL INDIA,2,WEST MADHYA PRADESH,12.9,10.6,21,E,268.9,301.4,-11,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,26.1,14.1,85,LE,309.8,379.4,-18,N
CENTRAL INDIA,4,GUJARAT REGION,17.5,8.4,108,LE,271.9,349.1,-22,D
CENTRAL INDIA,5,SAURASHTRA & KUTCH,2.7,4.6,-41,D,128.3,222,-42,D
CENTRAL INDIA,6,KONKAN & GOA,41.5,29.6,40,E,1410.4,1413.7,0,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,9.1,6.7,37,E,317.6,307.2,3,N
CENTRAL INDIA,8,MARATHWADA,2.9,5.3,-45,D,150.2,242,-38,D
CENTRAL INDIA,9,VIDARBHA,18.5,10.3,80,LE,253.6,382.6,-34,D
CENTRAL INDIA,10,CHHATTISGARH,20.6,14.4,43,E,348,436,-20,D
SOUTH PENINSULA,,(Region Total),7.5,7.2,5,N,221.2,297.2,-26,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,2.2,12.5,-83,LD,767.7,675.8,14,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,2.7,5.7,-53,D,142.1,212.6,-33,D
SOUTH PENINSULA,3,TELANGANA,18.1,8.7,108,LE,201.6,270.1,-25,D
SOUTH PENINSULA,4,RAYALASEEMA,3.2,3.2,-1,N,100,131.6,-24,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,0.6,2.6,-76,LD,90.1,95.3,-5,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,43.7,35.8,22,E,1135.9,1613.9,-30,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,6.9,4.3,60,LE,160.5,181.1,-11,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,7.3,6.6,11,N,206.4,284,-27,D
SOUTH PENINSULA,9,KERALA & MAHE,4.5,20.2,-78,LD,726.6,1106.6,-34,D
SOUTH PENINSULA,10,LAKSHADWEEP,0,10.1,-100,NR,378.4,545.2,-31,D
COUNTRY AS A WHOLE,,(Country Total),13.4,9.6,39,E,276.8,351.7,-21,D
