Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),4.5,12.6,-64,LD,487.1,676.9,-28,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,2.6,14.9,-82,LD,554.8,899,-38,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,0.9,16.1,-94,LD,588,946.1,-38,D
EAST AND NORTH EAST INDIA,3,NMMT,3.2,10.7,-70,LD,506.1,636.6,-21,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,4.2,16.8,-75,LD,984.6,943.7,4,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,11.8,11.1,7,N,534,525.5,2,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,7.2,9.6,-24,D,300.6,444.3,-32,D
EAST AND NORTH EAST INDIA,7,BIHAR,3.8,10.1,-63,LD,276.5,442.3,-37,D
NORTH WEST INDIA,,(Region Total),6.2,7.5,-17,N,223.5,242,-8,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,2.7,7.8,-65,LD,239.8,331.7,-28,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,1.6,8.6,-82,LD,245.7,265.6,-7,N
NORTH WEST INDIA,3,UTTARAKHAND,10.2,15.4,-34,D,479.2,507.1,-6,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,2.4,5.2,-54,D,134.3,177.1,-24,D
NORTH WEST INDIA,5,PUNJAB,3.3,4.5,-27,D,124.4,184.8,-33,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,11.8,8.5,39,E,283.3,302.4,-6,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,6.3,6.9,-9,N,278.4,219.6,27,E
NORTH WEST INDIA,8,WEST RAJASTHAN,10.1,4.4,129,LE,108.2,123.4,-12,N
NORTH WEST INDIA,9,EAST RAJASTHAN,6.1,9.9,-39,D,213.2,253,-16,N
CENTRAL INDIA,,(Region Total),13.3,10.9,22,E,412.7,425.8,-3,N
CENTRAL INDIA,1,ODISHA,6.8,10.2,-34,D,547.4,476.8,15,N
CENTRAL INDIA,2,WEST MADHYA PRADESH,2.7,12.9,-79,LD,315.2,350.7,-10,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,1.4,10.7,-87,LD,354,424.7,-17,N
CENTRAL INDIA,4,GUJARAT REGION,58.9,14.1,318,LE,535,396.8,35,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,39.1,6.4,511,LE,216.6,248.9,-13,N
CENTRAL INDIA,6,KONKAN & GOA,35.2,32.8,7,N,1612.4,1549,4,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,14.4,8.2,76,LE,411.4,338.4,22,E
CENTRAL INDIA,8,MARATHWADA,0.7,5.7,-87,LD,178.6,268.4,-33,D
CENTRAL INDIA,9,VIDARBHA,4.3,9.9,-56,D,315.3,426.7,-26,D
CENTRAL INDIA,10,CHHATTISGARH,1.7,11.1,-85,LD,399.4,488.1,-18,N
SOUTH PENINSULA,,(Region Total),2.2,7.2,-70,LD,235.4,326.1,-28,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,2.7,15.3,-83,LD,774.7,729.2,6,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,0,5.7,-99,LD,145.3,237.6,-39,D
SOUTH PENINSULA,3,TELANGANA,0.1,7.8,-98,LD,216.5,305.2,-29,D
SOUTH PENINSULA,4,RAYALASEEMA,0.1,3.3,-96,LD,103,144.9,-29,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,0.3,2.9,-89,LD,91.2,105.9,-14,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,33.2,36.8,-10,N,1265.8,1760.2,-28,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,1.9,4.5,-57,D,177.4,198.4,-11,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,3.4,6.7,-50,D,225.2,311,-28,D
SOUTH PENINSULA,9,KERALA & MAHE,5.6,21,-73,LD,759.1,1182.5,-36,D
SOUTH PENINSULA,10,LAKSHADWEEP,0.5,9,-94,LD,382,582.1,-34,D
COUNTRY AS A WHOLE,,(Country Total),7.5,9.4,-20,D,331.5,389.7,-15,N
