Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),4.7,11.8,-60,LD,667.9,916.1,-27,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,1.1,13.2,-92,LD,693.6,1140.9,-39,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,2.8,14.2,-80,LD,765.7,1230.7,-38,D
EAST AND NORTH EAST INDIA,3,NMMT,5.7,11.5,-50,D,693.2,870.2,-20,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,0.6,17,-97,LD,1222.8,1260.2,-3,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,9.7,11.3,-14,N,793.2,756.5,5,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,10.1,8.7,16,N,525.4,658.9,-20,D
EAST AND NORTH EAST INDIA,7,BIHAR,2.1,9.6,-78,LD,383.2,637.7,-40,D
NORTH WEST INDIA,,(Region Total),5.9,7.2,-18,N,349.7,394.6,-11,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,5.8,10.5,-45,D,354.9,510.8,-31,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,8.9,9.3,-4,N,383.8,437.2,-12,N
NORTH WEST INDIA,3,UTTARAKHAND,29.9,12.5,139,LE,772.1,798.5,-3,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,7.7,5.6,37,E,253.2,284.4,-11,N
NORTH WEST INDIA,5,PUNJAB,4.9,3.9,25,E,191.7,302.5,-37,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,12.8,7.7,66,LE,461.7,504.9,-9,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,3.1,6,-49,D,400.8,372.7,8,N
NORTH WEST INDIA,8,WEST RAJASTHAN,0,3.8,-99,LD,179.5,198.7,-10,N
NORTH WEST INDIA,9,EAST RAJASTHAN,5.2,8.2,-37,D,365.3,427.3,-15,N
CENTRAL INDIA,,(Region Total),9.9,9.2,7,N,649.5,655,-1,N
CENTRAL INDIA,1,ODISHA,14,12.3,14,N,934,737.1,27,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,9.5,9.2,3,N,536.5,572.5,-6,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,21.9,13.6,61,LE,561.1,679.1,-17,N
CENTRAL INDIA,4,GUJARAT REGION,6.9,7.6,-10,N,776.4,648.1,20,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,0.3,3.2,-90,LD,294.8,382,-23,D
CENTRAL INDIA,6,KONKAN & GOA,18.2,22.4,-19,N,2089.9,2193,-5,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,4.5,5.7,-20,D,594.4,500.3,19,N
CENTRAL INDIA,8,MARATHWADA,0.7,3.5,-80,LD,316.1,386.3,-18,N
CENTRAL INDIA,9,VIDARBHA,3.6,7.2,-50,D,517.2,637.8,-19,N
CENTRAL INDIA,10,CHHATTISGARH,14.4,10.8,34,E,694.9,747.5,-7,N
SOUTH PENINSULA,,(Region Total),3.8,6.1,-38,D,371.1,464.3,-20,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,10.4,10.9,-5,N,1039.1,994.6,4,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,2.6,6.5,-60,LD,225.5,352.7,-36,D
SOUTH PENINSULA,3,TELANGANA,1.7,6.7,-75,LD,409.3,467.1,-12,N
SOUTH PENINSULA,4,RAYALASEEMA,1.1,3.4,-68,LD,138.9,211.1,-34,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,3.1,3.3,-5,N,143.3,156.2,-8,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,19.3,26.7,-28,D,1870.6,2439.5,-23,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,1.9,3.3,-44,D,247.8,282.2,-12,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,3.9,5.5,-30,D,352.7,448.2,-21,D
SOUTH PENINSULA,9,KERALA & MAHE,14.8,14.4,3,N,1217.6,1556.3,-22,D
SOUTH PENINSULA,10,LAKSHADWEEP,2.6,6.2,-58,D,547.3,728.7,-25,D
COUNTRY AS A WHOLE,,(Country Total),6.6,8.4,-21,D,505.5,579.1,-13,N
