Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),9.6,13.3,-28,D,443.8,651.4,-32,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,4.1,16.7,-75,LD,416.8,864.8,-52,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,9.8,17.8,-45,D,580.7,914.1,-36,D
EAST AND NORTH EAST INDIA,3,NMMT,13.7,10.6,29,E,423.7,615.6,-31,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,9.8,17.8,-45,D,974.6,908.9,7,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,15.9,13.2,21,E,495.4,503.8,-2,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,10.3,11.1,-8,N,289.8,426,-32,D
EAST AND NORTH EAST INDIA,7,BIHAR,6.1,8.2,-26,D,266.8,422.6,-37,D
NORTH WEST INDIA,,(Region Total),13.5,6.8,99,LE,205.6,227.6,-10,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,3.1,5.8,-47,D,231,317.4,-27,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,0.8,6.9,-88,LD,240.1,250.4,-4,N
NORTH WEST INDIA,3,UTTARAKHAND,5.6,13.4,-58,D,454.6,479.5,-5,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,1.6,5.1,-68,LD,130.4,167.9,-22,D
NORTH WEST INDIA,5,PUNJAB,9.8,6.5,50,E,115.2,174.8,-34,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,8.3,9.8,-16,N,258.6,285.2,-9,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,28.3,6.9,310,LE,249.2,205.3,21,E
NORTH WEST INDIA,8,WEST RAJASTHAN,14.4,4.4,226,LE,88.5,114.7,-23,D
NORTH WEST INDIA,9,EAST RAJASTHAN,18.5,8,131,LE,195,233.7,-17,N
CENTRAL INDIA,,(Region Total),21,11.2,87,LE,379.8,404,-6,N
CENTRAL INDIA,1,ODISHA,11.1,9.8,13,N,535.8,458.7,17,N
CENTRAL INDIA,2,WEST MADHYA PRADESH,16.7,12.5,34,E,305.5,325.7,-6,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,17.8,11.2,59,E,349.3,403.8,-13,N
CENTRAL INDIA,4,GUJARAT REGION,67.4,10.8,524,LE,367.4,370.1,-1,N
CENTRAL INDIA,5,SAURASHTRA & KUTCH,4.7,7,-32,D,137.5,235.4,-42,D
CENTRAL INDIA,6,KONKAN & GOA,62.2,33.7,85,LE,1525.2,1480.3,3,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,28.7,7.1,304,LE,370.6,321.2,15,N
CENTRAL INDIA,8,MARATHWADA,8,5.9,36,E,175.2,254.2,-31,D
CENTRAL INDIA,9,VIDARBHA,19.5,13.6,44,E,309.2,406.2,-24,D
CENTRAL INDIA,10,CHHATTISGARH,14.8,13.3,11,N,395.4,464.7,-15,N
SOUTH PENINSULA,,(Region Total),4.2,7.3,-43,D,229.5,311.2,-26,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,1.5,13,-89,LD,770.7,700.4,10,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,1,6.9,-86,LD,145,225.7,-36,D
SOUTH PENINSULA,3,TELANGANA,4,9.6,-58,D,216.2,286.5,-25,D
SOUTH PENINSULA,4,RAYALASEEMA,0.7,2.9,-77,LD,101.9,138,-26,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,0.4,2.4,-81,LD,90.6,99.9,-9,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,36.9,36.8,0,N,1197.3,1688.6,-29,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,7.7,4.3,80,LE,173.6,189.2,-8,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,4.4,6.8,-36,D,212.5,297.7,-29,D
SOUTH PENINSULA,9,KERALA & MAHE,7.7,17.8,-57,D,738.9,1142,-35,D
SOUTH PENINSULA,10,LAKSHADWEEP,0,8.8,-100,NR,381.4,560.5,-32,D
COUNTRY AS A WHOLE,,(Country Total),13.6,9.4,44,E,306.9,370.9,-17,N
