Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),9.3,10.6,-12,N,539.1,763.1,-29,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,17.9,10.5,70,LE,600.1,994.4,-40,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,15.2,12.5,22,E,653.8,1051.4,-38,D
EAST AND NORTH EAST INDIA,3,NMMT,11.1,10.4,7,N,561.8,717.8,-22,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,16.3,14.4,13,N,1035.7,1056.6,-2,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,3,11,-73,LD,609.3,603.7,1,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,1.9,8.8,-79,LD,361.9,517,-30,D
EAST AND NORTH EAST INDIA,7,BIHAR,2.6,9.1,-71,LD,293.3,512.9,-43,D
NORTH WEST INDIA,,(Region Total),3.9,7.4,-47,D,258.4,295.2,-12,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,2.4,9.2,-74,LD,257.3,394.4,-35,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,0.3,7,-96,LD,274.1,325.9,-16,N
NORTH WEST INDIA,3,UTTARAKHAND,7.5,15.4,-51,D,573.6,610,-6,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,0,5.1,-99,LD,150.7,210.9,-29,D
NORTH WEST INDIA,5,PUNJAB,1.8,8,-78,LD,143.7,223.9,-36,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,7.1,9.3,-23,D,348.6,366.3,-5,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,8,7.9,1,N,325.6,276.4,18,N
NORTH WEST INDIA,8,WEST RAJASTHAN,2.5,3.7,-33,D,132,150.9,-13,N
NORTH WEST INDIA,9,EAST RAJASTHAN,3.2,6.8,-52,D,244.4,310.1,-21,D
CENTRAL INDIA,,(Region Total),19.2,11,75,LE,533.1,502.6,6,N
CENTRAL INDIA,1,ODISHA,2.2,9.9,-78,LD,737.8,560.6,32,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,15.4,11.4,35,E,386.9,426.9,-9,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,2.1,13,-84,LD,415.8,504.1,-18,N
CENTRAL INDIA,4,GUJARAT REGION,89.2,14.8,502,LE,682.4,488.4,40,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,32.8,6.3,420,LE,253.2,296.2,-15,N
CENTRAL INDIA,6,KONKAN & GOA,24,34.2,-30,D,1782.5,1789.2,0,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,37.6,8.1,364,LE,548.3,395.3,39,E
CENTRAL INDIA,8,MARATHWADA,5.2,4.9,6,N,284.5,310,-8,N
CENTRAL INDIA,9,VIDARBHA,7.7,9.5,-19,N,470.5,494.2,-5,N
CENTRAL INDIA,10,CHHATTISGARH,3.6,11.3,-68,LD,563.2,568.3,-1,N
SOUTH PENINSULA,,(Region Total),11.6,6.8,71,LE,291.8,372.3,-22,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,12.2,13.6,-11,N,836.8,818.2,2,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,6.5,4.6,41,E,182.5,272.7,-33,D
SOUTH PENINSULA,3,TELANGANA,3.6,6.6,-45,D,340,356.5,-5,N
SOUTH PENINSULA,4,RAYALASEEMA,0.6,3.5,-83,LD,107.1,167.9,-36,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,5.7,2.9,97,LE,101.9,122.6,-17,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,43.5,33.1,31,E,1455.5,1985.6,-27,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,3.2,4.3,-25,D,203.5,226.1,-10,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,17.7,7.1,150,LE,270.8,357.4,-24,D
SOUTH PENINSULA,9,KERALA & MAHE,74,21.5,244,LE,932.8,1323.3,-30,D
SOUTH PENINSULA,10,LAKSHADWEEP,41.4,8.3,399,LE,430.4,633.2,-32,D
COUNTRY AS A WHOLE,,(Country Total),11.5,8.9,29,E,402.2,454.7,-12,N
