Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),9.6,11.2,-14,N,557.1,785.3,-29,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,13.8,10.3,34,E,640.5,1015.8,-37,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,10.4,11.7,-11,N,672.8,1075.8,-37,D
EAST AND NORTH EAST INDIA,3,NMMT,7,11.5,-39,D,573.9,741.1,-23,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,28.4,13.6,108,LE,1075.2,1085.5,-1,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,8.5,12.2,-31,D,618.7,625.5,-1,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,5.8,12.4,-53,D,368.7,538.7,-32,D
EAST AND NORTH EAST INDIA,7,BIHAR,5.4,9.1,-40,D,303.3,531.3,-43,D
NORTH WEST INDIA,,(Region Total),5.5,6.4,-14,N,267.9,308.9,-13,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,7.9,7.5,5,N,268.9,408.9,-34,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,2.5,7.2,-65,LD,278.2,340.6,-18,N
NORTH WEST INDIA,3,UTTARAKHAND,12,13,-7,N,601.3,637.2,-6,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,1.1,6.2,-82,LD,152.5,223.2,-32,D
NORTH WEST INDIA,5,PUNJAB,1.2,6.1,-80,LD,145.3,236.8,-39,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,3.8,10.2,-63,LD,356.1,386.8,-8,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,6.5,6.4,2,N,335.6,291.2,15,N
NORTH WEST INDIA,8,WEST RAJASTHAN,5.6,2.3,145,LE,140.2,157.1,-11,N
NORTH WEST INDIA,9,EAST RAJASTHAN,4.4,6.8,-35,D,255.6,324.6,-21,D
CENTRAL INDIA,,(Region Total),4.5,11.7,-61,LD,546.7,524.7,4,N
CENTRAL INDIA,1,ODISHA,2.7,13.7,-80,LD,745.4,586.3,27,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,1.1,9.6,-89,LD,390.7,446.1,-12,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,4,14.1,-72,LD,420.9,528.9,-20,D
CENTRAL INDIA,4,GUJARAT REGION,7.5,10.7,-30,D,721,511.5,41,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,4.2,6.3,-33,D,290.3,307.9,-6,N
CENTRAL INDIA,6,KONKAN & GOA,36.8,34.5,7,N,1837.8,1857.2,-1,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,9,8.9,1,N,565.7,411.7,37,E
CENTRAL INDIA,8,MARATHWADA,2.1,5.6,-63,LD,288,321.3,-10,N
CENTRAL INDIA,9,VIDARBHA,0.3,11,-97,LD,474.4,514.5,-8,N
CENTRAL INDIA,10,CHHATTISGARH,2.2,14,-84,LD,567.8,594.7,-5,N
SOUTH PENINSULA,,(Region Total),7.2,6.5,11,N,311,385.7,-19,N
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,11.1,14.1,-21,D,860.1,844,2,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,1.3,6.2,-78,LD,186.1,283.9,-34,D
SOUTH PENINSULA,3,TELANGANA,3,8.2,-64,LD,345.4,372.5,-7,N
SOUTH PENINSULA,4,RAYALASEEMA,0.9,2.5,-65,LD,109.6,174.3,-37,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,2.9,1.7,69,LE,109.6,126.7,-13,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,36.3,33.5,8,N,1566.4,2054.5,-24,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,8,4.1,95,LE,213.9,234.7,-9,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,6.5,6.3,3,N,301.9,371.1,-19,N
SOUTH PENINSULA,9,KERALA & MAHE,45.2,15.2,197,LE,1041.9,1357.2,-23,D
SOUTH PENINSULA,10,LAKSHADWEEP,0.5,6,-92,LD,446.3,647.3,-31,D
COUNTRY AS A WHOLE,,(Country Total),6.2,9,-32,D,416.3,472.6,-12,N
