Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),8.8,12.9,-32,D,452.4,664.3,-32,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,2.9,19.3,-85,LD,419.1,884.1,-53,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,6.4,15.9,-59,D,587.1,930,-37,D
EAST AND NORTH EAST INDIA,3,NMMT,13.5,10.3,31,E,437.2,625.9,-30,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,4.2,18,-77,LD,978.6,926.9,6,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,26.8,10.6,153,LE,522.2,514.4,2,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,3.8,8.7,-57,D,293.5,434.7,-32,D
EAST AND NORTH EAST INDIA,7,BIHAR,5.9,9.6,-38,D,272.7,432.2,-37,D
NORTH WEST INDIA,,(Region Total),11.9,6.9,72,LE,217.4,234.5,-7,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,6.2,6.5,-5,N,237.1,323.9,-27,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,4.1,6.6,-38,D,244.2,257,-5,N
NORTH WEST INDIA,3,UTTARAKHAND,14.4,12.2,18,N,469,491.7,-5,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,1.5,4,-63,LD,131.9,171.9,-23,D
NORTH WEST INDIA,5,PUNJAB,5.9,5.5,7,N,121.1,180.3,-33,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,12.9,8.7,49,E,271.5,293.9,-8,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,23.5,7.4,217,LE,272.2,212.7,28,E
NORTH WEST INDIA,8,WEST RAJASTHAN,9.6,4.3,124,LE,98.2,119,-18,N
NORTH WEST INDIA,9,EAST RAJASTHAN,12.1,9.4,29,E,207.1,243.1,-15,N
CENTRAL INDIA,,(Region Total),19.6,10.9,80,LE,399.4,414.9,-4,N
CENTRAL INDIA,1,ODISHA,4.8,7.9,-40,D,540.6,466.6,16,N
CENTRAL INDIA,2,WEST MADHYA PRADESH,7,12.1,-42,D,312.5,337.8,-7,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,3.3,10.2,-68,LD,352.6,414,-15,N
CENTRAL INDIA,4,GUJARAT REGION,108.7,12.6,763,LE,476.2,382.7,24,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,40,7.1,463,LE,177.5,242.5,-27,D
CENTRAL INDIA,6,KONKAN & GOA,52,35.9,45,E,1577.2,1516.2,4,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,26.4,9,193,LE,397,330.2,20,E
CENTRAL INDIA,8,MARATHWADA,2.7,8.5,-68,LD,177.9,262.7,-32,D
CENTRAL INDIA,9,VIDARBHA,1.8,10.6,-83,LD,311,416.8,-25,D
CENTRAL INDIA,10,CHHATTISGARH,2.3,12.3,-81,LD,397.7,477,-17,N
SOUTH PENINSULA,,(Region Total),3.7,7.7,-52,D,233.3,318.9,-27,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,1.3,13.5,-90,LD,772,713.9,8,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,0.3,6.2,-95,LD,145.3,231.9,-37,D
SOUTH PENINSULA,3,TELANGANA,0.1,10.9,-99,LD,216.3,297.4,-27,D
SOUTH PENINSULA,4,RAYALASEEMA,0.9,3.6,-75,LD,102.8,141.6,-27,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,0.2,3.1,-92,LD,90.9,103,-12,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,35.4,34.8,2,N,1232.7,1723.4,-28,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,2.1,4.7,-56,D,175.7,193.9,-9,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,9.3,6.6,41,E,221.8,304.3,-27,D
SOUTH PENINSULA,9,KERALA & MAHE,14.5,19.5,-26,D,753.4,1161.5,-35,D
SOUTH PENINSULA,10,LAKSHADWEEP,0.1,12.6,-99,LD,381.5,573.1,-33,D
COUNTRY AS A WHOLE,,(Country Total),12.4,9.4,32,E,319.2,380.3,-16,N
