Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),2.6,12.9,-80,LD,489.6,689.8,-29,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,0.8,14.3,-94,LD,556.2,913.3,-39,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,6.3,16.7,-62,LD,593.8,962.8,-38,D
EAST AND NORTH EAST INDIA,3,NMMT,3.4,11.9,-71,LD,509.2,648.5,-21,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,0.4,18,-98,LD,984.8,961.7,2,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,4,11.3,-65,LD,538,536.8,0,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,1.6,11.6,-86,LD,302.1,455.9,-34,D
EAST AND NORTH EAST INDIA,7,BIHAR,0,9.4,-99,LD,276.5,451.7,-39,D
NORTH WEST INDIA,,(Region Total),6.8,7.6,-10,N,230.2,249.6,-8,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,1.6,8.3,-80,LD,241,340,-29,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,1.7,10.1,-83,LD,247.4,275.7,-10,N
NORTH WEST INDIA,3,UTTARAKHAND,5.4,15,-64,LD,484.6,522.1,-7,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,1.8,4.5,-60,LD,136.1,181.6,-25,D
NORTH WEST INDIA,5,PUNJAB,4.2,4.2,-1,N,128.5,189,-32,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,8.1,9.6,-15,N,291.4,312,-7,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,14.8,6.6,125,LE,292.9,226.2,29,E
NORTH WEST INDIA,8,WEST RAJASTHAN,8.7,4.8,81,LE,116.9,128.2,-9,N
NORTH WEST INDIA,9,EAST RAJASTHAN,3.3,9.4,-65,LD,216.5,262.4,-18,N
CENTRAL INDIA,,(Region Total),9.4,11.1,-15,N,422.1,436.9,-3,N
CENTRAL INDIA,1,ODISHA,30.6,12.2,151,LE,578.2,489,18,N
CENTRAL INDIA,2,WEST MADHYA PRADESH,1.6,12.9,-88,LD,316.8,363.6,-13,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,3.5,11.6,-70,LD,357.5,436.3,-18,N
CENTRAL INDIA,4,GUJARAT REGION,19.4,11.2,73,LE,554.4,408,36,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,1.1,5.5,-81,LD,217.7,254.4,-14,N
CENTRAL INDIA,6,KONKAN & GOA,23.1,31.8,-27,D,1635.6,1580.8,3,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,10.4,8.9,17,N,421.8,347.3,21,E
CENTRAL INDIA,8,MARATHWADA,1.9,6.1,-68,LD,180.6,274.5,-34,D
CENTRAL INDIA,9,VIDARBHA,2.7,9.1,-70,LD,318,435.8,-27,D
CENTRAL INDIA,10,CHHATTISGARH,5.1,11.7,-56,D,404.5,499.8,-19,N
SOUTH PENINSULA,,(Region Total),2.5,7,-64,LD,237.9,333.1,-29,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,8.5,10.3,-17,N,783.3,739.5,6,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,0.4,5,-92,LD,145.7,242.6,-40,D
SOUTH PENINSULA,3,TELANGANA,1.9,8.7,-79,LD,218.7,313.9,-30,D
SOUTH PENINSULA,4,RAYALASEEMA,0.4,3.5,-89,LD,103.3,148.4,-30,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,0.1,2.7,-97,LD,91.3,108.6,-16,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,35,33.2,5,N,1299.6,1793.4,-28,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,0.9,4.3,-80,LD,178,202.7,-12,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,3.6,6.7,-46,D,228.8,317.7,-28,D
SOUTH PENINSULA,9,KERALA & MAHE,5.4,21.4,-75,LD,764.6,1203.9,-36,D
SOUTH PENINSULA,10,LAKSHADWEEP,0,10.4,-100,NR,382,592.5,-36,D
COUNTRY AS A WHOLE,,(Country Total),6.2,9.5,-35,D,337.7,399.2,-15,N
