Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),21.8,11.1,97,LE,706.5,949.8,-26,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,5,11.7,-57,D,718.9,1179.2,-39,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,15.2,11.3,35,E,806.1,1266.5,-36,D
EAST AND NORTH EAST INDIA,3,NMMT,6.9,10.9,-36,D,713.5,902.2,-21,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,12.8,14.5,-12,N,1243.7,1305.4,-5,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,47.9,11,336,LE,874.8,788,11,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,50,11.5,335,LE,586.1,689.8,-15,N
EAST AND NORTH EAST INDIA,7,BIHAR,15.5,9.3,66,LE,401.9,666.9,-40,D
NORTH WEST INDIA,,(Region Total),7.4,5.9,25,E,369,414.6,-11,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,16.8,8.8,91,LE,404.3,534.8,-24,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,23.4,7.4,216,LE,437.4,462,-5,N
NORTH WEST INDIA,3,UTTARAKHAND,34,12.4,174,LE,838.5,842.5,0,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,1.9,4.2,-55,D,258.5,298.2,-13,N
NORTH WEST INDIA,5,PUNJAB,3.3,4.1,-20,D,200.4,314.6,-36,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,6.9,8.1,-15,N,479,527.6,-9,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,1.1,4.5,-75,LD,405.3,389.7,4,N
NORTH WEST INDIA,8,WEST RAJASTHAN,0,3.3,-100,NR,179.5,210.9,-15,N
NORTH WEST INDIA,9,EAST RAJASTHAN,0.6,5.6,-90,LD,372.8,450.5,-17,N
CENTRAL INDIA,,(Region Total),9,8.8,2,N,676.5,683.5,-1,N
CENTRAL INDIA,1,ODISHA,23.2,12.8,81,LE,996.1,772.8,29,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,1,8.7,-88,LD,550.4,602,-9,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,9.6,13,-26,D,610.7,715.8,-15,N
CENTRAL INDIA,4,GUJARAT REGION,3.2,6.8,-52,D,786.1,674.9,16,N
CENTRAL INDIA,5,SAURASHTRA & KUTCH,0.2,3.9,-95,LD,296.9,393.1,-24,D
CENTRAL INDIA,6,KONKAN & GOA,19,18.7,1,N,2145.4,2253.2,-5,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,4.3,4.5,-4,N,604.7,517.7,17,N
CENTRAL INDIA,8,MARATHWADA,0.7,3.6,-81,LD,318.6,401.2,-21,D
CENTRAL INDIA,9,VIDARBHA,2.2,6.2,-64,LD,524.6,665.2,-21,D
CENTRAL INDIA,10,CHHATTISGARH,22.4,10.5,113,LE,738.6,782.1,-6,N
SOUTH PENINSULA,,(Region Total),1.9,6,-69,LD,376.9,483.1,-22,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,5.5,10.8,-49,D,1058.6,1025.8,3,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,0.7,5.2,-86,LD,230,368.3,-38,D
SOUTH PENINSULA,3,TELANGANA,3.3,6.3,-48,D,416.9,487,-14,N
SOUTH PENINSULA,4,RAYALASEEMA,0,3.2,-99,LD,139.1,220.7,-37,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,0.9,4,-78,LD,144.8,168.4,-14,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,13.8,26.9,-49,D,1914.9,2521.5,-24,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,0.4,2.8,-86,LD,250.5,292.4,-14,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,1.6,5.7,-72,LD,357.7,466.3,-23,D
SOUTH PENINSULA,9,KERALA & MAHE,4.1,15.2,-73,LD,1231.6,1603.7,-23,D
SOUTH PENINSULA,10,LAKSHADWEEP,2.7,6.5,-58,D,563.3,747.3,-25,D
COUNTRY AS A WHOLE,,(Country Total),9.1,7.7,18,N,527.8,603.9,-13,N
