Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),8.3,11.7,-29,D,519.3,741.6,-30,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,7.7,13.7,-44,D,575.9,970.9,-41,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,13,13.3,-2,N,625.5,1026.3,-39,D
EAST AND NORTH EAST INDIA,3,NMMT,4.9,11.4,-57,D,532.8,697.4,-24,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,10.5,15.2,-31,D,1005.5,1026.5,-2,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,13.3,11.4,16,N,593.7,583.2,2,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,7.1,10.1,-30,D,349.9,499.3,-30,D
EAST AND NORTH EAST INDIA,7,BIHAR,2.8,9,-69,LD,286.9,494.4,-42,D
NORTH WEST INDIA,,(Region Total),2.5,7.1,-65,LD,249.7,280.8,-11,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,0.5,8.2,-94,LD,254.1,378.6,-33,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,2,7.8,-74,LD,271.2,312,-13,N
NORTH WEST INDIA,3,UTTARAKHAND,14.4,13.8,4,N,552.5,579.8,-5,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,0.4,3.5,-89,LD,147.7,200.5,-26,D
NORTH WEST INDIA,5,PUNJAB,3.4,5.4,-37,D,139.8,209.9,-33,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,3.7,8.9,-58,D,327.8,348.6,-6,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,0.9,7.6,-88,LD,309.1,258.9,19,N
NORTH WEST INDIA,8,WEST RAJASTHAN,1.9,3.8,-50,D,128.6,143.9,-11,N
NORTH WEST INDIA,9,EAST RAJASTHAN,3.8,7.4,-48,D,236.8,297,-20,D
CENTRAL INDIA,,(Region Total),18.4,10.6,74,LE,486.7,481.3,1,N
CENTRAL INDIA,1,ODISHA,21.8,12.7,72,LE,731.5,539.1,36,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,15.3,8.9,72,LE,345.2,405.4,-15,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,12.2,10.1,21,E,408.8,481.1,-15,N
CENTRAL INDIA,4,GUJARAT REGION,0.9,11.4,-92,LD,575.6,462.9,24,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,0.1,6.8,-99,LD,220.4,283,-22,D
CENTRAL INDIA,6,KONKAN & GOA,10.1,36.1,-72,LD,1748.6,1721.2,2,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,4.8,7.8,-39,D,453.4,379.4,20,E
CENTRAL INDIA,8,MARATHWADA,13.6,6.6,106,LE,218.3,299.3,-27,D
CENTRAL INDIA,9,VIDARBHA,43.7,10.3,324,LE,390.7,475.5,-18,N
CENTRAL INDIA,10,CHHATTISGARH,47.4,11.3,320,LE,524.9,546.1,-4,N
SOUTH PENINSULA,,(Region Total),9.8,6.3,55,E,270.9,359.4,-25,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,8,15,-47,D,814.9,792,3,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,4.8,4.8,1,N,171.6,262.7,-35,D
SOUTH PENINSULA,3,TELANGANA,30.4,8.4,261,LE,311,343.7,-10,N
SOUTH PENINSULA,4,RAYALASEEMA,1.1,2.6,-58,D,105.7,161.5,-35,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,1.1,2.1,-46,D,95.1,117.7,-19,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,13.2,31,-57,D,1389.9,1921.6,-28,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,9.1,3.6,151,LE,195.9,218.1,-10,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,4.6,5.6,-18,N,245.7,343.9,-29,D
SOUTH PENINSULA,9,KERALA & MAHE,17.9,18.7,-5,N,833.9,1283.6,-35,D
SOUTH PENINSULA,10,LAKSHADWEEP,0.1,7.1,-99,LD,387.7,618.8,-37,D
COUNTRY AS A WHOLE,,(Country Total),10.2,8.9,15,N,376.6,437.2,-14,N
