Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),11,12.9,-14,N,663.2,904.3,-27,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,4.2,11.4,-63,LD,692.6,1127.7,-39,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,4.1,15.9,-74,LD,763,1216.5,-37,D
EAST AND NORTH EAST INDIA,3,NMMT,4.6,11.9,-62,LD,687.4,858.7,-20,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,5.8,15.1,-61,LD,1222.2,1243.2,-2,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,15.8,13,22,E,783.4,745.2,5,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,35.9,11.4,215,LE,515.4,650.2,-21,D
EAST AND NORTH EAST INDIA,7,BIHAR,6.6,12.1,-45,D,381.1,628.1,-39,D
NORTH WEST INDIA,,(Region Total),6.5,7.9,-18,N,343.7,387.4,-11,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,12.5,10.9,15,N,349.2,500.3,-30,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,4.7,10.6,-56,D,374.8,427.9,-12,N
NORTH WEST INDIA,3,UTTARAKHAND,8.1,14.2,-43,D,742.1,786,-6,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,1.1,5.3,-80,LD,245.5,278.8,-12,N
NORTH WEST INDIA,5,PUNJAB,1.6,5.6,-71,LD,186.9,298.6,-37,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,4.1,11,-63,LD,448.9,497.2,-10,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,10.6,7,51,E,397.8,366.7,8,N
NORTH WEST INDIA,8,WEST RAJASTHAN,3.2,3.9,-19,N,179.4,194.9,-8,N
NORTH WEST INDIA,9,EAST RAJASTHAN,3.3,8,-58,D,360.1,419.1,-14,N
CENTRAL INDIA,,(Region Total),8.1,9.6,-15,N,639.7,645.8,-1,N
CENTRAL INDIA,1,ODISHA,20.1,11.5,75,LE,920,724.8,27,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,1.9,9.1,-79,LD,527,563.3,-6,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,10.7,12.7,-16,N,539.2,665.5,-19,N
CENTRAL INDIA,4,GUJARAT REGION,9.8,8.4,16,N,769.5,640.5,20,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,2,3.5,-44,D,294.4,378.8,-22,D
CENTRAL INDIA,6,KONKAN & GOA,20.9,22.9,-9,N,2071.7,2170.6,-5,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,4,6.3,-36,D,589.8,494.6,19,N
CENTRAL INDIA,8,MARATHWADA,0.3,4.2,-93,LD,315.4,382.8,-18,N
CENTRAL INDIA,9,VIDARBHA,0.8,9.3,-92,LD,514.4,630.6,-18,N
CENTRAL INDIA,10,CHHATTISGARH,12.7,13,-2,N,680.5,736.7,-8,N
SOUTH PENINSULA,,(Region Total),3.3,5.7,-42,D,367.3,458.2,-20,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,3.7,10,-63,LD,1028.8,983.7,5,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,2.6,4.7,-45,D,222.9,346.2,-36,D
SOUTH PENINSULA,3,TELANGANA,1.1,6.6,-83,LD,407.4,460.4,-12,N
SOUTH PENINSULA,4,RAYALASEEMA,0.5,2.9,-84,LD,137.9,207.7,-34,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,3,2.3,29,E,140.2,152.9,-8,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,18.5,29.3,-37,D,1851.3,2412.8,-23,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,1.4,3.5,-60,LD,245.9,278.9,-12,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,3.9,5.7,-32,D,348.8,442.7,-21,D
SOUTH PENINSULA,9,KERALA & MAHE,13.1,13.8,-5,N,1202.8,1541.9,-22,D
SOUTH PENINSULA,10,LAKSHADWEEP,6.2,7.1,-12,N,544.6,722.5,-25,D
COUNTRY AS A WHOLE,,(Country Total),7.1,8.8,-19,N,498.9,570.7,-13,N
