Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),17.4,10.2,71,LE,606.4,815.5,-26,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,1.6,9,-82,LD,665.2,1043.8,-36,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,5.6,10.6,-47,D,719.5,1110.4,-35,D
EAST AND NORTH EAST INDIA,3,NMMT,23.6,10.6,122,LE,626.2,772.6,-19,N
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,9.1,14.2,-36,D,1165.3,1124.1,4,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,39.3,11.5,242,LE,678.3,656.6,3,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,22.7,11.3,101,LE,415.1,571.1,-27,D
EAST AND NORTH EAST INDIA,7,BIHAR,22.3,7.5,197,LE,357.6,552.6,-35,D
NORTH WEST INDIA,,(Region Total),9.7,7.4,31,E,295.4,330.2,-11,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,20.9,7.6,175,LE,315.3,429.4,-27,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,17.1,8,114,LE,320,363.3,-12,N
NORTH WEST INDIA,3,UTTARAKHAND,28.3,13.5,110,LE,657.6,677.8,-3,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,10.8,5.3,103,LE,184.8,240.5,-23,D
NORTH WEST INDIA,5,PUNJAB,3.7,7.3,-49,D,169.4,256.1,-34,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,7,9.8,-29,D,386.1,415.3,-7,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,6.2,6.9,-10,N,359.1,312.4,15,N
NORTH WEST INDIA,8,WEST RAJASTHAN,0.1,5.1,-97,LD,148.1,169.4,-13,N
NORTH WEST INDIA,9,EAST RAJASTHAN,8,8.6,-7,N,275.8,350.3,-21,D
CENTRAL INDIA,,(Region Total),6.8,12.2,-44,D,566.8,561.3,1,N
CENTRAL INDIA,1,ODISHA,15.8,13.7,16,N,780.9,629.3,24,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,4.3,11.7,-64,LD,403.4,481.3,-16,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,9.6,13.7,-30,D,441.1,569.9,-23,D
CENTRAL INDIA,4,GUJARAT REGION,1.2,12.4,-90,LD,729.6,548.6,33,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,0.1,6.7,-98,LD,290.8,327.9,-11,N
CENTRAL INDIA,6,KONKAN & GOA,21.9,29.4,-25,D,1915.3,1951.9,-2,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,4.8,8.7,-45,D,585.9,436.4,34,E
CENTRAL INDIA,8,MARATHWADA,1.4,6.9,-79,LD,300.8,340,-12,N
CENTRAL INDIA,9,VIDARBHA,1.6,13.3,-88,LD,484.2,553.5,-13,N
CENTRAL INDIA,10,CHHATTISGARH,9.9,13.9,-28,D,598.4,636.5,-6,N
SOUTH PENINSULA,,(Region Total),3.1,6.1,-49,D,330.7,405.8,-19,N
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,22.7,13.7,66,LE,919.4,878.5,5,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,2.4,4.7,-49,D,195.9,300.7,-35,D
SOUTH PENINSULA,3,TELANGANA,1.7,6.2,-73,LD,373.8,397.6,-6,N
SOUTH PENINSULA,4,RAYALASEEMA,1.6,3.1,-50,D,124.3,183.3,-32,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,0.3,2.3,-86,LD,117.1,133.1,-12,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,18.5,30.5,-39,D,1685.9,2153.5,-22,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,3,4.3,-29,D,227.5,247.6,-8,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,2.8,7,-60,LD,309.7,392.2,-21,D
SOUTH PENINSULA,9,KERALA & MAHE,10,15.4,-35,D,1094,1407.8,-22,D
SOUTH PENINSULA,10,LAKSHADWEEP,44,7.6,479,LE,490.6,669.5,-27,D
COUNTRY AS A WHOLE,,(Country Total),8.7,9.2,-6,N,443.2,500.2,-11,N
