Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),5.8,10.2,-44,D,634.3,854,-26,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,6.3,10.8,-42,D,680.5,1081,-37,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,5.9,13,-55,D,747.8,1154.5,-35,D
EAST AND NORTH EAST INDIA,3,NMMT,10.5,10.3,2,N,663.3,814.1,-19,N
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,10.2,14.5,-30,D,1209,1176,3,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,4,8.7,-54,D,711.8,695.6,2,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,4.9,8,-38,D,455.3,607.4,-25,D
EAST AND NORTH EAST INDIA,7,BIHAR,2.2,7.8,-72,LD,370.6,581.2,-36,D
NORTH WEST INDIA,,(Region Total),3.5,6.7,-48,D,317.1,358.5,-12,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,1.9,7.5,-75,LD,332.9,457.6,-27,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,5.6,7.4,-24,D,355.7,393.6,-10,N
NORTH WEST INDIA,3,UTTARAKHAND,15.7,13.1,20,E,707.1,730.1,-3,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,1.8,4.2,-58,D,236.7,259.7,-9,N
NORTH WEST INDIA,5,PUNJAB,2.5,5.5,-55,D,181.2,279.1,-35,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,6.1,9.8,-38,D,418,455.5,-8,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,0.1,6.1,-99,LD,369.2,342.6,8,N
NORTH WEST INDIA,8,WEST RAJASTHAN,4.2,3.2,31,E,160,182.2,-12,N
NORTH WEST INDIA,9,EAST RAJASTHAN,3.6,9.3,-61,LD,303.5,386.9,-22,D
CENTRAL INDIA,,(Region Total),10.8,10.5,3,N,607.6,606.7,0,N
CENTRAL INDIA,1,ODISHA,7.7,10.2,-24,D,862.3,677,27,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,34,11.8,188,LE,460.3,530.8,-13,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,25.7,11.1,131,LE,515.8,624.3,-17,N
CENTRAL INDIA,4,GUJARAT REGION,1.1,14.2,-92,LD,731.4,596.8,23,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,0,8.6,-99,LD,290.9,354.5,-18,N
CENTRAL INDIA,6,KONKAN & GOA,5.4,26.1,-79,LD,1955.8,2061.4,-5,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,1.1,6.9,-84,LD,594.8,467.3,27,E
CENTRAL INDIA,8,MARATHWADA,0.1,5.8,-98,LD,307.2,363.1,-15,N
CENTRAL INDIA,9,VIDARBHA,3,8.8,-66,LD,502.6,596.5,-16,N
CENTRAL INDIA,10,CHHATTISGARH,5.8,11,-47,D,655.9,687.8,-5,N
SOUTH PENINSULA,,(Region Total),2.5,7.3,-66,LD,353.4,432.4,-18,N
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,15.9,12.3,29,E,1005.8,931.8,8,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,2,6.4,-69,LD,212,323.1,-34,D
SOUTH PENINSULA,3,TELANGANA,1.3,10.4,-88,LD,400,428.7,-7,N
SOUTH PENINSULA,4,RAYALASEEMA,0.2,4,-94,LD,134.5,196.4,-32,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,2.5,2.4,4,N,126.2,142.8,-12,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,10.8,32.4,-67,LD,1774.1,2281.8,-22,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,1.5,4.1,-64,LD,236.2,263.2,-10,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,2.2,6.6,-67,LD,334.9,418.2,-20,D
SOUTH PENINSULA,9,KERALA & MAHE,7.4,18.3,-59,D,1168.6,1480.9,-21,D
SOUTH PENINSULA,10,LAKSHADWEEP,4.5,8,-44,D,525.1,695.2,-24,D
COUNTRY AS A WHOLE,,(Country Total),6.1,8.7,-30,D,472.6,535.6,-12,N
