Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),9.7,13.3,-27,D,372.9,581,-36,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,19.8,17.1,16,N,383.9,778.2,-51,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,9.6,17.2,-44,D,494.2,822.2,-40,D
EAST AND NORTH EAST INDIA,3,NMMT,3.6,11,-67,LD,368.9,559.1,-34,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,25.8,18.3,41,E,834.2,813.4,3,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,6.6,9.1,-27,D,414.8,435.7,-5,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,10.5,11.3,-7,N,214.9,371.2,-42,D
EAST AND NORTH EAST INDIA,7,BIHAR,2,10.1,-81,LD,198.4,371.7,-47,D
NORTH WEST INDIA,,(Region Total),3.4,6.9,-50,D,143.8,191.3,-25,D
NORTH WEST INDIA,1,EAST UTTAR PRADESH,10.1,9.2,9,N,164.8,274.4,-40,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,2,8.3,-76,LD,195.5,210.4,-7,N
NORTH WEST INDIA,3,UTTARAKHAND,7,14.1,-51,D,351.7,409.7,-14,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,0.3,4.9,-93,LD,108.9,139.4,-22,D
NORTH WEST INDIA,5,PUNJAB,1.3,5.1,-75,LD,88.4,145.8,-39,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,12.1,8.3,45,E,205.9,238.4,-14,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,2.9,5.2,-44,D,127.4,171.8,-26,D
NORTH WEST INDIA,8,WEST RAJASTHAN,0,4.6,-100,NR,68,95.1,-29,D
NORTH WEST INDIA,9,EAST RAJASTHAN,0.4,7.5,-95,LD,148.5,191.1,-22,D
CENTRAL INDIA,,(Region Total),8.8,10.8,-19,N,300.9,348.3,-14,N
CENTRAL INDIA,1,ODISHA,11.7,11.3,3,N,457.6,394.1,16,N
CENTRAL INDIA,2,WEST MADHYA PRADESH,1.1,7.9,-87,LD,250.7,269.8,-7,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,14.8,12,23,E,259.2,340.8,-24,D
CENTRAL INDIA,4,GUJARAT REGION,6.3,10.3,-38,D,239.6,320.4,-25,D
CENTRAL INDIA,5,SAURASHTRA & KUTCH,1,9.6,-89,LD,122.7,205.2,-40,D
CENTRAL INDIA,6,KONKAN & GOA,24,38,-37,D,1281.8,1317.9,-3,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,6.8,7.3,-6,N,291.6,286.5,2,N
CENTRAL INDIA,8,MARATHWADA,5.8,4.7,23,E,139,227.8,-39,D
CENTRAL INDIA,9,VIDARBHA,6.9,10.4,-33,D,221,349.6,-37,D
CENTRAL INDIA,10,CHHATTISGARH,17.4,12.7,37,E,304.3,398.1,-24,D
SOUTH PENINSULA,,(Region Total),5.8,6.8,-14,N,201.5,276.9,-27,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,0.7,10,-93,LD,762.4,641.4,19,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,6,5,20,E,135.2,197.7,-32,D
SOUTH PENINSULA,3,TELANGANA,5.5,6,-9,N,166.7,248.7,-33,D
SOUTH PENINSULA,4,RAYALASEEMA,5.1,2.9,77,LE,88.5,122.8,-28,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,0.7,2,-66,LD,88.4,87.5,1,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,41.2,40.1,3,N,1039.5,1504.1,-31,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,3.4,4.2,-20,D,133.3,169.8,-21,D
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,5.5,7.6,-28,D,187.4,263.1,-29,D
SOUTH PENINSULA,9,KERALA & MAHE,14.9,23.6,-37,D,694.2,1043.8,-33,D
SOUTH PENINSULA,10,LAKSHADWEEP,0.1,9.7,-99,LD,373.2,514.9,-28,D
COUNTRY AS A WHOLE,,(Country Total),6.7,9.2,-27,D,244.6,323.1,-24,D
