Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),20,9.9,102,LE,588.9,805.3,-27,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,12,9.7,24,E,663.6,1034.8,-36,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,28.7,11.7,145,LE,713.9,1099.8,-35,D
EAST AND NORTH EAST INDIA,3,NMMT,19.6,10.4,88,LE,602.6,762,-21,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,58.7,13,352,LE,1156.8,1109.9,4,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,12.7,9.2,38,E,639,645.1,-1,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,16.1,10.5,53,E,391.6,559.8,-30,D
EAST AND NORTH EAST INDIA,7,BIHAR,14.8,6.9,115,LE,335.3,545.1,-38,D
NORTH WEST INDIA,,(Region Total),9.7,6.8,43,E,285.6,322.8,-12,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,13,6.2,110,LE,294.3,421.8,-30,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,17.5,6.7,162,LE,302.9,355.3,-15,N
NORTH WEST INDIA,3,UTTARAKHAND,15.9,13.1,21,E,629.3,664.3,-5,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,12.3,5.6,119,LE,174,235.2,-26,D
NORTH WEST INDIA,5,PUNJAB,4.9,5.9,-18,N,165.7,248.8,-33,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,14.9,8.6,74,LE,379.1,405.5,-7,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,11.8,7,69,LE,352.8,305.5,15,N
NORTH WEST INDIA,8,WEST RAJASTHAN,2,4,-51,D,147.9,164.3,-10,N
NORTH WEST INDIA,9,EAST RAJASTHAN,5.1,8.3,-39,D,267.8,341.7,-22,D
CENTRAL INDIA,,(Region Total),6.5,12.2,-47,D,559.9,549.1,2,N
CENTRAL INDIA,1,ODISHA,7.6,14.9,-49,D,765,615.6,24,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,4.6,12.2,-63,LD,399.1,469.6,-15,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,8.6,11.9,-28,D,431.4,556.2,-22,D
CENTRAL INDIA,4,GUJARAT REGION,2.3,12.8,-82,LD,728.2,536.2,36,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,0.1,7.7,-99,LD,290.7,321.2,-9,N
CENTRAL INDIA,6,KONKAN & GOA,29.3,31.6,-7,N,1893.3,1922.5,-2,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,5.1,8.4,-40,D,581.1,427.7,36,E
CENTRAL INDIA,8,MARATHWADA,2.6,7,-63,LD,299.4,333.1,-10,N
CENTRAL INDIA,9,VIDARBHA,5.5,14.1,-61,LD,482.7,540.2,-11,N
CENTRAL INDIA,10,CHHATTISGARH,11,12.1,-9,N,588.4,622.6,-5,N
SOUTH PENINSULA,,(Region Total),6.5,6.7,-3,N,327.5,399.7,-18,N
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,11.2,11.1,0,N,896.7,864.8,4,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,2.5,5.6,-55,D,193.5,296,-35,D
SOUTH PENINSULA,3,TELANGANA,3.4,8.4,-59,D,371.8,391.4,-5,N
SOUTH PENINSULA,4,RAYALASEEMA,4.8,3.1,53,E,122.7,180.2,-32,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,4.5,2,126,LE,116.8,130.8,-11,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,40.5,33,23,E,1667.3,2123,-21,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,4.2,4,4,N,224.5,243.3,-8,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,7.1,7,2,N,307,385.2,-20,D
SOUTH PENINSULA,9,KERALA & MAHE,20.4,17.5,16,N,1084,1392.4,-22,D
SOUTH PENINSULA,10,LAKSHADWEEP,0.3,7,-96,LD,446.6,661.9,-33,D
COUNTRY AS A WHOLE,,(Country Total),9.6,9.1,6,N,434.5,491,-11,N
