Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),4.1,11.8,-65,LD,638.4,865.8,-26,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,0.4,12.7,-97,LD,680.9,1093.7,-38,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,1.3,15.9,-92,LD,749.1,1170.4,-36,D
EAST AND NORTH EAST INDIA,3,NMMT,8.5,10.1,-16,N,671.8,824.2,-18,N
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,1.6,15.3,-90,LD,1209.9,1191.3,2,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,10.4,11.6,-11,N,722.1,707.2,2,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,6.3,9.1,-31,D,461.6,616.5,-25,D
EAST AND NORTH EAST INDIA,7,BIHAR,1.7,9.2,-82,LD,372.2,590.4,-37,D
NORTH WEST INDIA,,(Region Total),8.8,6.1,44,E,325.9,364.6,-11,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,2.1,9.2,-78,LD,335,466.8,-28,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,9.1,6.6,37,E,364.8,400.2,-9,N
NORTH WEST INDIA,3,UTTARAKHAND,20.6,12.2,69,LE,727.7,742.3,-2,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,5.4,4.2,29,E,242.1,263.9,-8,N
NORTH WEST INDIA,5,PUNJAB,3.3,3.9,-16,N,184.5,283,-35,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,15.3,8.2,87,LE,433.3,463.7,-7,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,11.6,4.1,183,LE,380.8,346.7,10,N
NORTH WEST INDIA,8,WEST RAJASTHAN,2.5,3,-18,N,162.4,185.2,-12,N
NORTH WEST INDIA,9,EAST RAJASTHAN,16,8.3,92,LE,319.5,395.2,-19,N
CENTRAL INDIA,,(Region Total),7.6,9.7,-22,D,612.7,616.4,-1,N
CENTRAL INDIA,1,ODISHA,10.6,9.8,8,N,872.8,686.8,27,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,24.4,8.2,197,LE,484.6,539,-10,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,3.7,8.5,-57,D,519.5,632.8,-18,N
CENTRAL INDIA,4,GUJARAT REGION,5.5,12.5,-56,D,736.9,609.3,21,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,0.6,8.5,-93,LD,291.5,363,-20,D
CENTRAL INDIA,6,KONKAN & GOA,14.6,30.6,-52,D,1979.4,2092,-5,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,2.9,7.7,-62,LD,570.1,475,20,E
CENTRAL INDIA,8,MARATHWADA,0.2,6.2,-96,LD,310,369.3,-16,N
CENTRAL INDIA,9,VIDARBHA,1.2,8,-85,LD,503.8,604.5,-17,N
CENTRAL INDIA,10,CHHATTISGARH,4.4,11,-60,LD,660.3,698.8,-6,N
SOUTH PENINSULA,,(Region Total),3.6,6.5,-44,D,357,438.9,-19,N
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,4.7,15,-69,LD,1010.5,946.8,7,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,2.4,5,-53,D,214.4,328.1,-35,D
SOUTH PENINSULA,3,TELANGANA,0.9,7.6,-88,LD,401,436.3,-8,N
SOUTH PENINSULA,4,RAYALASEEMA,1.7,2.6,-36,D,136.1,199,-32,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,5.9,2.6,127,LE,132.1,145.4,-9,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,16.3,34.3,-53,D,1790.4,2316.1,-23,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,4,4.3,-8,N,240.1,267.5,-10,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,3.5,6.1,-43,D,338.3,424.3,-20,D
SOUTH PENINSULA,9,KERALA & MAHE,4,17.4,-77,LD,1172.6,1498.3,-22,D
SOUTH PENINSULA,10,LAKSHADWEEP,3.4,7.2,-53,D,528.4,702.4,-25,D
COUNTRY AS A WHOLE,,(Country Total),6.6,8.3,-20,D,478.4,543.9,-12,N
