Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),7.5,8.9,-16,N,628.9,843.8,-25,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,2.3,8.1,-71,LD,674.1,1070.2,-37,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,10.1,10.6,-5,N,742.5,1141.5,-35,D
EAST AND NORTH EAST INDIA,3,NMMT,12.3,10.1,22,E,653.3,803.8,-19,N
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,20.4,11.4,79,LE,1198.8,1161.5,3,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,5.1,8.6,-41,D,707.8,686.9,3,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,6.9,8.5,-19,N,451.4,599.4,-25,D
EAST AND NORTH EAST INDIA,7,BIHAR,4,6.8,-41,D,368.4,573.4,-36,D
NORTH WEST INDIA,,(Region Total),3.3,7.1,-53,D,313.6,351.8,-11,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,0.5,6.4,-92,LD,331,450.1,-26,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,1.1,7.9,-86,LD,350.1,386.2,-9,N
NORTH WEST INDIA,3,UTTARAKHAND,6.7,13.1,-49,D,691.4,717,-4,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,10.5,5.7,84,LE,234.9,255.5,-8,N
NORTH WEST INDIA,5,PUNJAB,2.9,6.7,-56,D,178.7,273.6,-35,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,1.5,10.2,-85,LD,411.9,445.7,-8,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,4.1,7.7,-47,D,369.2,336.5,10,N
NORTH WEST INDIA,8,WEST RAJASTHAN,2.5,2.9,-15,N,155.8,179,-13,N
NORTH WEST INDIA,9,EAST RAJASTHAN,4.9,9,-45,D,299.8,377.6,-21,D
CENTRAL INDIA,,(Region Total),11.9,10.9,9,N,596.8,596.2,0,N
CENTRAL INDIA,1,ODISHA,20.1,10,101,LE,854.6,666.8,28,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,8,11.8,-32,D,426.2,519,-18,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,26.3,14,88,LE,490.1,613.2,-20,D
CENTRAL INDIA,4,GUJARAT REGION,0.2,11.8,-99,LD,730.3,582.6,25,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,0,6.2,-99,LD,290.8,345.9,-16,N
CENTRAL INDIA,6,KONKAN & GOA,8.7,28.4,-69,LD,1950.4,2035.3,-4,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,1.6,7.9,-80,LD,593.7,460.4,29,E
CENTRAL INDIA,8,MARATHWADA,0.3,5.2,-93,LD,307.1,357.3,-14,N
CENTRAL INDIA,9,VIDARBHA,9.1,10.3,-11,N,499.7,587.7,-15,N
CENTRAL INDIA,10,CHHATTISGARH,26.7,12.1,121,LE,650.1,676.8,-4,N
SOUTH PENINSULA,,(Region Total),5.7,6.8,-16,N,350.9,425.1,-17,N
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,11.4,13.1,-13,N,990,919.5,8,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,4.3,5.7,-24,D,210.1,316.7,-34,D
SOUTH PENINSULA,3,TELANGANA,5.1,7.4,-31,D,398.6,418.3,-5,N
SOUTH PENINSULA,4,RAYALASEEMA,3.6,3.5,2,N,134.2,192.4,-30,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,3.2,2.8,14,N,123.7,140.4,-12,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,19.2,32.9,-42,D,1763.3,2249.4,-22,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,1.8,4.1,-56,D,234.7,259.1,-9,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,9.7,6,62,LE,332.8,411.6,-19,N
SOUTH PENINSULA,9,KERALA & MAHE,14,19.1,-27,D,1161.2,1462.6,-21,D
SOUTH PENINSULA,10,LAKSHADWEEP,0.5,7.1,-92,LD,520.6,687.2,-24,D
COUNTRY AS A WHOLE,,(Country Total),7.3,8.6,-15,N,466.5,526.9,-11,N
