Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),4,13.2,-69,LD,493.6,703,-30,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,1.4,15.7,-91,LD,557.6,929,-40,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,1.5,16.8,-91,LD,595.5,979.6,-39,D
EAST AND NORTH EAST INDIA,3,NMMT,5,10.8,-54,D,513.8,659.3,-22,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,5.4,17.8,-70,LD,990.1,979.5,1,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,11.4,10.1,13,N,549.3,546.9,0,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,4.9,11.5,-57,D,306.9,467.4,-34,D
EAST AND NORTH EAST INDIA,7,BIHAR,2.1,11.2,-81,LD,278.6,462.9,-40,D
NORTH WEST INDIA,,(Region Total),1.9,7.9,-76,LD,232.1,257.5,-10,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,1.2,9.6,-87,LD,242.3,349.6,-31,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,0.9,9.8,-91,LD,248.2,285.5,-13,N
NORTH WEST INDIA,3,UTTARAKHAND,2.7,14,-80,LD,487.3,536.1,-9,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,0.3,5.1,-95,LD,136.3,186.7,-27,D
NORTH WEST INDIA,5,PUNJAB,0.8,4.7,-83,LD,129.3,193.7,-33,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,4.6,9.2,-50,D,296,321.2,-8,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,0.6,7.9,-93,LD,293.4,234.1,25,E
NORTH WEST INDIA,8,WEST RAJASTHAN,4.2,4,4,N,121.1,132.2,-8,N
NORTH WEST INDIA,9,EAST RAJASTHAN,1.8,9.9,-82,LD,218.2,272.3,-20,D
CENTRAL INDIA,,(Region Total),8,11.5,-30,D,430.1,448.4,-4,N
CENTRAL INDIA,1,ODISHA,20.8,12.6,65,LE,599,501.6,19,N
CENTRAL INDIA,2,WEST MADHYA PRADESH,1.3,11.4,-88,LD,318.1,375,-15,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,2.4,12.4,-81,LD,359.9,448.7,-20,D
CENTRAL INDIA,4,GUJARAT REGION,10.1,13.3,-24,D,564.5,421.3,34,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,1.9,7.2,-73,LD,219.6,261.6,-16,N
CENTRAL INDIA,6,KONKAN & GOA,32.8,35,-6,N,1668.2,1615.8,3,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,10.3,7.9,31,E,432.1,355.2,22,E
CENTRAL INDIA,8,MARATHWADA,7.6,6.2,22,E,188.1,280.7,-33,D
CENTRAL INDIA,9,VIDARBHA,2.1,10.2,-79,LD,320.1,446,-28,D
CENTRAL INDIA,10,CHHATTISGARH,7.2,12.9,-45,D,411.7,512.7,-20,D
SOUTH PENINSULA,,(Region Total),4.5,6.5,-31,D,242.5,339.6,-29,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,16.4,11,49,E,799.7,750.5,7,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,5.5,4.4,25,E,151.3,247,-39,D
SOUTH PENINSULA,3,TELANGANA,8.7,7.2,21,E,228.7,321.1,-29,D
SOUTH PENINSULA,4,RAYALASEEMA,0.5,3.6,-86,LD,103.9,152,-32,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,0.3,2.2,-86,LD,91.6,110.8,-17,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,19,33.8,-44,D,1318.8,1827.2,-28,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,1.8,3.7,-50,D,179.6,206.4,-13,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,3.9,6.5,-40,D,232.1,324.2,-28,D
SOUTH PENINSULA,9,KERALA & MAHE,7.7,20.4,-62,LD,772.3,1224.3,-37,D
SOUTH PENINSULA,10,LAKSHADWEEP,1,7.3,-86,LD,383,599.8,-36,D
COUNTRY AS A WHOLE,,(Country Total),4.8,9.7,-50,D,342.5,408.9,-16,N
