Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),8.2,13.4,-39,D,363.9,567.7,-36,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,7.2,16.9,-58,D,368.1,761.1,-52,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,10.1,16.4,-38,D,484.9,805,-40,D
EAST AND NORTH EAST INDIA,3,NMMT,11.8,11.3,5,N,365.6,548.1,-33,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,10.4,17.6,-41,D,808.6,795.1,2,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,10.3,9,14,N,408.1,426.6,-4,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,8.7,11,-21,D,204.4,359.9,-43,D
EAST AND NORTH EAST INDIA,7,BIHAR,2,12.5,-84,LD,196.5,361.6,-46,D
NORTH WEST INDIA,,(Region Total),2.2,7.8,-72,LD,140.4,184.4,-24,D
NORTH WEST INDIA,1,EAST UTTAR PRADESH,3.6,11.2,-68,LD,154.8,265.2,-42,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,1,7,-86,LD,193.6,202.1,-4,N
NORTH WEST INDIA,3,UTTARAKHAND,9.5,16.3,-42,D,344.8,395.6,-13,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,0,4.6,-99,LD,108.6,134.5,-19,N
NORTH WEST INDIA,5,PUNJAB,0.2,6.8,-97,LD,87.1,140.7,-38,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,0.6,9.8,-94,LD,193.9,230.1,-16,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,4.7,7.2,-35,D,124.4,166.6,-25,D
NORTH WEST INDIA,8,WEST RAJASTHAN,0,5.3,-100,NR,68,90.5,-25,D
NORTH WEST INDIA,9,EAST RAJASTHAN,0.1,7.2,-99,LD,148.2,183.6,-19,N
CENTRAL INDIA,,(Region Total),11.1,10.7,4,N,292.2,337.5,-13,N
CENTRAL INDIA,1,ODISHA,35.8,11.9,201,LE,445.9,382.8,16,N
CENTRAL INDIA,2,WEST MADHYA PRADESH,0.6,8.8,-93,LD,249.7,261.9,-5,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,7.6,10.8,-30,D,244.5,328.8,-26,D
CENTRAL INDIA,4,GUJARAT REGION,2.6,10.3,-75,LD,233.3,310.1,-25,D
CENTRAL INDIA,5,SAURASHTRA & KUTCH,5.1,8.7,-42,D,121.7,195.6,-38,D
CENTRAL INDIA,6,KONKAN & GOA,15,39.5,-62,LD,1257.8,1279.9,-2,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,2.5,8.2,-70,LD,284.8,279.2,2,N
CENTRAL INDIA,8,MARATHWADA,1.7,6,-72,LD,133.2,223.1,-40,D
CENTRAL INDIA,9,VIDARBHA,3.9,9.2,-58,D,214.1,339.2,-37,D
CENTRAL INDIA,10,CHHATTISGARH,25.1,12.1,107,LE,286.9,385.4,-26,D
SOUTH PENINSULA,,(Region Total),5.4,7.8,-31,D,195.7,270.1,-28,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,0.2,12.8,-98,LD,761.7,631.4,21,E
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,1.6,6.2,-74,LD,129.2,192.7,-33,D
SOUTH PENINSULA,3,TELANGANA,3,6.4,-53,D,161.2,242.7,-34,D
SOUTH PENINSULA,4,RAYALASEEMA,1.2,4,-69,LD,83.4,119.9,-30,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,0,2.5,-100,NR,87.8,85.5,3,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,88.1,41.6,112,LE,998.3,1464,-32,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,2.4,4.7,-49,D,130,165.6,-22,D
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,4.6,8.3,-44,D,182.2,255.5,-29,D
SOUTH PENINSULA,9,KERALA & MAHE,15.5,27.6,-44,D,679.2,1020.2,-33,D
SOUTH PENINSULA,10,LAKSHADWEEP,1.1,11.1,-90,LD,373.1,505.2,-26,D
COUNTRY AS A WHOLE,,(Country Total),6.8,9.7,-30,D,238,313.9,-24,D
