Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),9.6,10.3,-7,N,715.9,960.1,-25,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,2.6,10.5,-75,LD,721.5,1189.7,-39,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,6.7,11.6,-42,D,812.7,1278.1,-36,D
EAST AND NORTH EAST INDIA,3,NMMT,6.2,11.3,-45,D,719.7,913.5,-21,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,11.6,12.4,-6,N,1255.4,1317.8,-5,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,10,8.7,15,N,884.7,796.7,11,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,27,10.7,152,LE,612.6,700.5,-13,N
EAST AND NORTH EAST INDIA,7,BIHAR,5.7,8.1,-30,D,407.6,675,-40,D
NORTH WEST INDIA,,(Region Total),8,6.3,27,E,377,420.9,-10,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,12.9,9.5,36,E,417.2,544.3,-23,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,6.5,8.8,-26,D,443.9,470.8,-6,N
NORTH WEST INDIA,3,UTTARAKHAND,15.2,16.8,-10,N,853.6,859.3,-1,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,3.9,4.8,-18,N,262.4,303,-13,N
NORTH WEST INDIA,5,PUNJAB,12.3,3.6,243,LE,212.7,318.2,-33,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,24.7,7.8,216,LE,503.6,535.4,-6,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,11.8,4.4,167,LE,417.1,394.1,6,N
NORTH WEST INDIA,8,WEST RAJASTHAN,0,2.6,-100,NR,179.5,213.5,-16,N
NORTH WEST INDIA,9,EAST RAJASTHAN,0.1,6.4,-99,LD,372.9,456.9,-18,N
CENTRAL INDIA,,(Region Total),7.4,9.6,-23,D,683.9,693.1,-1,N
CENTRAL INDIA,1,ODISHA,8.3,13.7,-40,D,1004.4,786.5,28,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,1.3,11.5,-89,LD,551.7,613.5,-10,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,23.3,13.3,75,LE,633.9,729.1,-13,N
CENTRAL INDIA,4,GUJARAT REGION,0.4,6.2,-94,LD,786.4,681.1,15,N
CENTRAL INDIA,5,SAURASHTRA & KUTCH,0,2.9,-99,LD,296.9,396,-25,D
CENTRAL INDIA,6,KONKAN & GOA,11.1,16.5,-33,D,2156.5,2269.7,-5,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,2.9,4.1,-30,D,607.6,521.8,16,N
CENTRAL INDIA,8,MARATHWADA,1.3,3.6,-64,LD,319.9,404.8,-21,D
CENTRAL INDIA,9,VIDARBHA,1.7,8.6,-80,LD,526.4,673.8,-22,D
CENTRAL INDIA,10,CHHATTISGARH,18.5,12.8,45,E,757.1,794.9,-5,N
SOUTH PENINSULA,,(Region Total),3.5,5.5,-36,D,380.4,488.6,-22,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,4.1,12.9,-68,LD,1062.7,1038.7,2,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,2.2,4.9,-55,D,232.2,373.2,-38,D
SOUTH PENINSULA,3,TELANGANA,5.7,6.4,-11,N,422.8,493.4,-14,N
SOUTH PENINSULA,4,RAYALASEEMA,1.1,2.6,-59,D,140.2,223.3,-37,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,1.1,3.3,-67,LD,145.8,171.7,-15,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,24.5,24.1,2,N,1939.4,2545.6,-24,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,2.7,2.6,4,N,253.2,295,-14,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,3.1,5.3,-42,D,360.8,471.6,-23,D
SOUTH PENINSULA,9,KERALA & MAHE,5.4,12.7,-58,D,1237,1616.4,-23,D
SOUTH PENINSULA,10,LAKSHADWEEP,12.5,9.8,28,E,575.8,757.1,-24,D
COUNTRY AS A WHOLE,,(Country Total),7.2,7.9,-9,N,535,611.8,-13,N
