Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),19.8,15.2,30,E,406.2,610.7,-33,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,10.4,16.4,-37,D,406.3,815.3,-50,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,34.7,20.4,70,LE,547.3,863.1,-37,D
EAST AND NORTH EAST INDIA,3,NMMT,21.4,11.4,88,LE,394.8,581.7,-32,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,28.2,19.4,46,E,909.7,852.6,7,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,2.7,15.3,-83,LD,419.3,461.4,-9,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,16.6,11.2,49,E,241.5,391.8,-38,D
EAST AND NORTH EAST INDIA,7,BIHAR,22.9,12.9,77,LE,238.9,395.7,-40,D
NORTH WEST INDIA,,(Region Total),10.3,7.5,38,E,162.4,206,-21,D
NORTH WEST INDIA,1,EAST UTTAR PRADESH,20.6,10.7,93,LE,198.1,294.3,-33,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,15.2,8.6,77,LE,215.8,226.8,-5,N
NORTH WEST INDIA,3,UTTARAKHAND,34,13.8,146,LE,402.5,438.5,-8,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,0.7,5.1,-86,LD,109.8,148.9,-26,D
NORTH WEST INDIA,5,PUNJAB,0.9,6.1,-85,LD,89.6,156.5,-43,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,3.6,9.7,-63,LD,215.2,256.8,-16,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,17,7.4,130,LE,165.4,185.5,-11,N
NORTH WEST INDIA,8,WEST RAJASTHAN,0,3.1,-100,NR,68,103,-34,D
NORTH WEST INDIA,9,EAST RAJASTHAN,1,7.8,-87,LD,150.1,206.8,-27,D
CENTRAL INDIA,,(Region Total),7.6,10.5,-28,D,316.8,369.5,-14,N
CENTRAL INDIA,1,ODISHA,5.8,12,-52,D,468.4,417.5,12,N
CENTRAL INDIA,2,WEST MADHYA PRADESH,2.9,10.3,-71,LD,256,290.8,-12,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,10.7,12.9,-17,N,283.7,365.3,-22,D
CENTRAL INDIA,4,GUJARAT REGION,8.6,9.6,-11,N,254.4,340.7,-25,D
CENTRAL INDIA,5,SAURASHTRA & KUTCH,2,4.7,-57,D,125.6,217.4,-42,D
CENTRAL INDIA,6,KONKAN & GOA,52.6,29.9,76,LE,1368.9,1384.1,-1,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,7.3,7.2,2,N,308.4,300.5,3,N
CENTRAL INDIA,8,MARATHWADA,1.3,5,-74,LD,147.3,236.7,-38,D
CENTRAL INDIA,9,VIDARBHA,4.7,11.2,-58,D,235.1,372.3,-37,D
CENTRAL INDIA,10,CHHATTISGARH,10.1,12.3,-18,N,327.4,421.6,-22,D
SOUTH PENINSULA,,(Region Total),6.9,6.8,1,N,213.2,290,-26,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,3.1,11.3,-73,LD,765.5,663.3,15,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,0.9,4.6,-80,LD,139.4,206.9,-33,D
SOUTH PENINSULA,3,TELANGANA,10,7.1,41,E,180.7,261.4,-31,D
SOUTH PENINSULA,4,RAYALASEEMA,3.6,3.4,4,N,96.8,128.4,-25,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,0.7,2.4,-70,LD,89.5,92.7,-3,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,35.8,38.3,-7,N,1092.2,1578.1,-31,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,10.9,3.9,180,LE,153.6,176.8,-13,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,6.6,7.4,-11,N,199.3,277.4,-28,D
SOUTH PENINSULA,9,KERALA & MAHE,18,20.6,-13,N,722.1,1086.4,-34,D
SOUTH PENINSULA,10,LAKSHADWEEP,0.5,11.3,-96,LD,378.4,535.1,-29,D
COUNTRY AS A WHOLE,,(Country Total),10.2,9.6,7,N,263.2,342.1,-23,D
