Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),15.1,14.5,4,N,387.3,595.5,-35,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,18,20.7,-13,N,398.4,798.9,-50,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,19,20.5,-7,N,513,842.7,-39,D
EAST AND NORTH EAST INDIA,3,NMMT,6.6,11.2,-41,D,375.1,570.3,-34,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,48.7,19.8,146,LE,882.9,833.2,6,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,1.9,10.4,-82,LD,416.7,446.1,-7,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,10.5,9.4,11,N,225.2,380.6,-41,D
EAST AND NORTH EAST INDIA,7,BIHAR,17.6,11.1,59,E,216.1,382.8,-44,D
NORTH WEST INDIA,,(Region Total),8.1,7.2,13,N,152,198.5,-23,D
NORTH WEST INDIA,1,EAST UTTAR PRADESH,12.3,9.2,34,E,177.5,283.6,-37,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,5.1,7.8,-34,D,200.6,218.2,-8,N
NORTH WEST INDIA,3,UTTARAKHAND,16.8,15,12,N,368.6,424.7,-13,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,0.2,4.4,-95,LD,109.1,143.8,-24,D
NORTH WEST INDIA,5,PUNJAB,0.2,4.6,-95,LD,88.7,150.4,-41,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,5.7,8.7,-35,D,211.6,247.1,-14,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,21,6.3,233,LE,148.3,178.1,-17,N
NORTH WEST INDIA,8,WEST RAJASTHAN,0,4.8,-100,NR,68,99.9,-32,D
NORTH WEST INDIA,9,EAST RAJASTHAN,0.5,7.9,-93,LD,149,199,-25,D
CENTRAL INDIA,,(Region Total),8.2,10.7,-23,D,309.2,359,-14,N
CENTRAL INDIA,1,ODISHA,5.1,11.4,-55,D,462.7,405.5,14,N
CENTRAL INDIA,2,WEST MADHYA PRADESH,2.3,10.7,-78,LD,253.1,280.5,-10,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,13.7,11.6,18,N,272.9,352.4,-23,D
CENTRAL INDIA,4,GUJARAT REGION,6.2,10.7,-42,D,245.9,331.1,-26,D
CENTRAL INDIA,5,SAURASHTRA & KUTCH,0.8,7.5,-89,LD,123.6,212.7,-42,D
CENTRAL INDIA,6,KONKAN & GOA,35.1,36.3,-3,N,1316.9,1354.2,-3,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,9.3,6.8,37,E,301.1,293.3,3,N
CENTRAL INDIA,8,MARATHWADA,6.9,3.9,78,LE,146,231.7,-37,D
CENTRAL INDIA,9,VIDARBHA,9.3,11.5,-19,N,230.3,361.1,-36,D
CENTRAL INDIA,10,CHHATTISGARH,13,11.2,16,N,317.3,409.3,-22,D
SOUTH PENINSULA,,(Region Total),5.5,6.3,-13,N,207,283.2,-27,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,0,10.6,-100,NR,762.4,652,17,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,3.3,4.6,-29,D,138.5,202.3,-32,D
SOUTH PENINSULA,3,TELANGANA,7.7,5.6,38,E,174.4,254.3,-31,D
SOUTH PENINSULA,4,RAYALASEEMA,4.8,2.2,116,LE,93.3,125,-25,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,0.4,2.8,-87,LD,88.8,90.3,-2,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,16.7,35.7,-53,D,1056.2,1539.8,-31,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,9.6,3.1,210,LE,142.9,172.9,-17,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,5.7,6.9,-18,N,192.9,270,-29,D
SOUTH PENINSULA,9,KERALA & MAHE,9.9,22,-55,D,704.1,1065.8,-34,D
SOUTH PENINSULA,10,LAKSHADWEEP,4.7,8.9,-47,D,377.9,523.8,-28,D
COUNTRY AS A WHOLE,,(Country Total),8.8,9.4,-7,N,253.2,332.5,-24,D
