Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),5.6,11.5,-52,D,673.4,927.6,-27,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,11.6,13.4,-14,N,705.2,1154.3,-39,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,9,12.4,-27,D,774.6,1243.1,-38,D
EAST AND NORTH EAST INDIA,3,NMMT,4.4,10.9,-60,LD,697.5,881.1,-21,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,1.4,14.8,-90,LD,1224.2,1275,-4,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,5.7,10.7,-46,D,798.9,767.2,4,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,3.7,9.7,-62,LD,529,668.6,-21,D
EAST AND NORTH EAST INDIA,7,BIHAR,0.1,10.6,-99,LD,383.4,648.3,-41,D
NORTH WEST INDIA,,(Region Total),5.7,7.9,-28,D,355.3,402.5,-12,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,14,8.4,67,LE,368.9,519.2,-29,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,13.9,9.3,50,E,397.7,446.5,-11,N
NORTH WEST INDIA,3,UTTARAKHAND,14.7,18.8,-22,D,786.8,817.3,-4,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,2,5.5,-64,LD,255.1,289.9,-12,N
NORTH WEST INDIA,5,PUNJAB,3.4,4.7,-27,D,195.2,307.2,-36,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,6.6,8.6,-24,D,468.3,513.5,-9,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,0.4,6.6,-94,LD,401.2,379.3,6,N
NORTH WEST INDIA,8,WEST RAJASTHAN,0,5.2,-99,LD,179.5,203.9,-12,N
NORTH WEST INDIA,9,EAST RAJASTHAN,5.8,9.8,-41,D,371.1,437.1,-15,N
CENTRAL INDIA,,(Region Total),9.5,10.2,-7,N,659,665.2,-1,N
CENTRAL INDIA,1,ODISHA,17.3,11.9,45,E,951.3,749,27,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,10.3,11.4,-10,N,546.8,583.9,-6,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,21.5,12,79,LE,582.6,691.1,-16,N
CENTRAL INDIA,4,GUJARAT REGION,2.3,9.1,-74,LD,778.7,657.2,18,N
CENTRAL INDIA,5,SAURASHTRA & KUTCH,0.9,3.3,-73,LD,295.6,385.3,-23,D
CENTRAL INDIA,6,KONKAN & GOA,23.8,21.2,12,N,2113.6,2214.2,-5,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,3.1,6.1,-49,D,597.5,506.4,18,N
CENTRAL INDIA,8,MARATHWADA,1.2,5.4,-77,LD,317.3,391.7,-19,N
CENTRAL INDIA,9,VIDARBHA,2.4,12.5,-81,LD,519.6,650.3,-20,D
CENTRAL INDIA,10,CHHATTISGARH,10,12.7,-21,D,705,760.2,-7,N
SOUTH PENINSULA,,(Region Total),2.2,6.3,-66,LD,373.3,470.6,-21,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,1.9,10.6,-82,LD,1041.1,1005.2,4,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,2.8,5.3,-47,D,228.2,358,-36,D
SOUTH PENINSULA,3,TELANGANA,2.3,7.4,-69,LD,412,474.5,-13,N
SOUTH PENINSULA,4,RAYALASEEMA,0.1,3.7,-98,LD,139,214.8,-35,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,0.5,3.4,-86,LD,143.7,159.6,-10,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,14.6,26.1,-44,D,1885.2,2465.6,-24,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,1.8,3.7,-51,D,249.6,285.9,-13,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,1.6,5.6,-72,LD,354.2,453.8,-22,D
SOUTH PENINSULA,9,KERALA & MAHE,5.7,15.8,-64,LD,1223.3,1572.1,-22,D
SOUTH PENINSULA,10,LAKSHADWEEP,4.8,5.8,-17,N,552.1,734.5,-25,D
COUNTRY AS A WHOLE,,(Country Total),6.2,8.9,-30,D,511.8,588,-13,N
