Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),7.9,13.1,-40,D,652.3,891.4,-27,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,1.5,11,-87,LD,688.3,1116.3,-38,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,1.5,14.5,-89,LD,758.9,1200.6,-37,D
EAST AND NORTH EAST INDIA,3,NMMT,4.1,12.1,-66,LD,682.8,846.8,-19,N
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,6.2,19.6,-68,LD,1216.3,1228.1,-1,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,38.8,13.5,187,LE,767.6,732.2,5,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,9.6,11.2,-14,N,480.2,638.8,-25,D
EAST AND NORTH EAST INDIA,7,BIHAR,0.7,13.4,-95,LD,374.5,616,-39,D
NORTH WEST INDIA,,(Region Total),5.9,7.8,-25,D,337.3,379.5,-11,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,0.4,11.6,-97,LD,336.6,489.4,-31,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,2.6,8.4,-69,LD,370.1,417.3,-11,N
NORTH WEST INDIA,3,UTTARAKHAND,1.3,16,-92,LD,734.1,771.8,-5,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,0.1,4.6,-98,LD,244.4,273.5,-11,N
NORTH WEST INDIA,5,PUNJAB,0,6.1,-99,LD,185.2,293,-37,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,0.5,13.2,-96,LD,444.8,486.2,-9,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,1.2,7.6,-84,LD,387.2,359.7,8,N
NORTH WEST INDIA,8,WEST RAJASTHAN,10.4,2.6,302,LE,176.3,191,-8,N
NORTH WEST INDIA,9,EAST RAJASTHAN,22,7.3,201,LE,356.8,411.1,-13,N
CENTRAL INDIA,,(Region Total),7.8,10.2,-23,D,631.6,636.2,-1,N
CENTRAL INDIA,1,ODISHA,22.3,14.9,50,E,899.9,713.3,26,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,8.5,7.3,17,N,525.2,554.2,-5,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,4.9,10.8,-55,D,528.5,652.8,-19,N
CENTRAL INDIA,4,GUJARAT REGION,12.8,11.3,13,N,759.8,632.1,20,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,0.9,5.4,-84,LD,292.5,375.3,-22,D
CENTRAL INDIA,6,KONKAN & GOA,20.8,25.4,-18,N,2050.8,2147.7,-5,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,3.9,6.3,-38,D,585.8,488.3,20,E
CENTRAL INDIA,8,MARATHWADA,1,4.5,-78,LD,315.1,378.6,-17,N
CENTRAL INDIA,9,VIDARBHA,2.2,9.5,-77,LD,513.7,621.3,-17,N
CENTRAL INDIA,10,CHHATTISGARH,3.4,13.9,-76,LD,667.8,723.7,-8,N
SOUTH PENINSULA,,(Region Total),3.2,6.6,-51,D,364,452.5,-20,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,3.8,12.3,-69,LD,1025.1,973.7,5,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,2.9,6.8,-58,D,220.3,341.5,-36,D
SOUTH PENINSULA,3,TELANGANA,2,8.5,-77,LD,406.3,453.8,-10,N
SOUTH PENINSULA,4,RAYALASEEMA,0.5,2.9,-83,LD,137.4,204.8,-33,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,1.3,2.7,-51,D,137.2,150.6,-9,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,25.3,31.6,-20,D,1832.8,2383.5,-23,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,2.6,4,-35,D,244.5,275.4,-11,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,3.2,6.1,-47,D,345.1,437,-21,D
SOUTH PENINSULA,9,KERALA & MAHE,9.9,14.3,-31,D,1189.7,1528.1,-22,D
SOUTH PENINSULA,10,LAKSHADWEEP,5.5,6.2,-12,N,538.4,715.4,-25,D
COUNTRY AS A WHOLE,,(Country Total),6.3,9.3,-32,D,491.8,561.9,-12,N
