Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),11.5,11.1,3,N,684.8,938.7,-27,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,8.7,13.2,-34,D,713.9,1167.5,-39,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,16.4,12.1,36,E,790.9,1255.2,-37,D
EAST AND NORTH EAST INDIA,3,NMMT,9,10.2,-12,N,706.5,891.3,-21,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,6.7,15.9,-58,D,1230.9,1290.9,-5,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,27.9,9.8,185,LE,826.8,777,6,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,8.2,9.7,-15,N,537.1,678.3,-21,D
EAST AND NORTH EAST INDIA,7,BIHAR,3.1,9.3,-67,LD,386.4,657.6,-41,D
NORTH WEST INDIA,,(Region Total),6.3,6.2,2,N,361.7,408.7,-12,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,18.5,6.8,173,LE,387.5,526,-26,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,16.4,8.1,102,LE,414.1,454.6,-9,N
NORTH WEST INDIA,3,UTTARAKHAND,17.7,12.8,38,E,804.5,830.1,-3,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,1.5,4.1,-63,LD,256.6,294,-13,N
NORTH WEST INDIA,5,PUNJAB,2,3.3,-41,D,197.1,310.5,-37,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,3.8,6,-37,D,472,519.5,-9,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,3,5.9,-49,D,404.2,385.2,5,N
NORTH WEST INDIA,8,WEST RAJASTHAN,0,3.7,-99,LD,179.5,207.6,-14,N
NORTH WEST INDIA,9,EAST RAJASTHAN,1.1,7.8,-86,LD,372.2,444.9,-16,N
CENTRAL INDIA,,(Region Total),8.5,9.5,-10,N,667.5,674.7,-1,N
CENTRAL INDIA,1,ODISHA,21.6,11,97,LE,972.9,760,28,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,2.6,9.4,-72,LD,549.4,593.3,-7,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,18.4,11.7,57,E,601,702.8,-14,N
CENTRAL INDIA,4,GUJARAT REGION,4.1,10.9,-63,LD,782.8,668.1,17,N
CENTRAL INDIA,5,SAURASHTRA & KUTCH,1,3.9,-74,LD,296.7,389.2,-24,D
CENTRAL INDIA,6,KONKAN & GOA,12.8,20.3,-37,D,2126.5,2234.5,-5,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,2.9,6.8,-57,D,600.4,513.2,17,N
CENTRAL INDIA,8,MARATHWADA,0.6,5.9,-90,LD,317.9,397.6,-20,D
CENTRAL INDIA,9,VIDARBHA,2.9,8.7,-67,LD,522.4,659,-21,D
CENTRAL INDIA,10,CHHATTISGARH,11.3,11.4,-1,N,716.2,771.6,-7,N
SOUTH PENINSULA,,(Region Total),1.6,6.5,-75,LD,375,477.1,-21,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,12.1,9.8,23,E,1053.2,1015,4,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,1,5.1,-81,LD,229.3,363.1,-37,D
SOUTH PENINSULA,3,TELANGANA,1.2,6.2,-80,LD,413.3,480.7,-14,N
SOUTH PENINSULA,4,RAYALASEEMA,0.1,2.7,-97,LD,139.1,217.5,-36,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,0.2,4.8,-96,LD,143.9,164.4,-12,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,15.9,29,-45,D,1901.1,2494.6,-24,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,0.5,3.7,-86,LD,250.1,289.6,-14,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,2,6.8,-71,LD,356.1,460.6,-23,D
SOUTH PENINSULA,9,KERALA & MAHE,4.3,16.4,-74,LD,1227.5,1588.5,-23,D
SOUTH PENINSULA,10,LAKSHADWEEP,8.5,6.3,35,E,560.6,740.8,-24,D
COUNTRY AS A WHOLE,,(Country Total),7,8.2,-15,N,518.7,596.2,-13,N
