Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),8.3,11,-24,D,547.3,774.1,-29,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,25.9,11.1,133,LE,625.9,1005.5,-38,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,8.3,12.7,-35,D,661.8,1064.1,-38,D
EAST AND NORTH EAST INDIA,3,NMMT,5.2,11.8,-56,D,566.9,729.6,-22,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,10.6,15.3,-31,D,1046.1,1071.9,-2,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,1,9.6,-90,LD,610.3,613.3,0,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,2.4,9.3,-74,LD,363.8,526.3,-31,D
EAST AND NORTH EAST INDIA,7,BIHAR,4.6,9.3,-51,D,297.8,522.2,-43,D
NORTH WEST INDIA,,(Region Total),4,7.3,-45,D,262.4,302.5,-13,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,3.7,7,-47,D,261.3,401.4,-35,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,1.7,7.5,-77,LD,275.7,333.4,-17,N
NORTH WEST INDIA,3,UTTARAKHAND,15.7,14.2,11,N,589.3,624.2,-6,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,0.8,6.1,-87,LD,151.4,217,-30,D
NORTH WEST INDIA,5,PUNJAB,0.4,6.8,-94,LD,144.1,230.7,-38,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,3.7,10.3,-64,LD,352.3,376.6,-6,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,3.5,8.4,-58,D,329.1,284.8,16,N
NORTH WEST INDIA,8,WEST RAJASTHAN,2.6,3.9,-33,D,134.6,154.8,-13,N
NORTH WEST INDIA,9,EAST RAJASTHAN,6.8,7.7,-12,N,251.2,317.8,-21,D
CENTRAL INDIA,,(Region Total),9.2,10.4,-12,N,542.2,513,6,N
CENTRAL INDIA,1,ODISHA,5,12,-59,D,742.7,572.6,30,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,2.8,9.6,-71,LD,389.7,436.5,-11,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,1.1,10.7,-90,LD,417,514.8,-19,N
CENTRAL INDIA,4,GUJARAT REGION,31.1,12.4,151,LE,713.6,500.8,42,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,32.8,5.4,508,LE,286.1,301.6,-5,N
CENTRAL INDIA,6,KONKAN & GOA,20,33.5,-40,D,1802.5,1822.7,-1,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,8.6,7.5,14,N,556.9,402.8,38,E
CENTRAL INDIA,8,MARATHWADA,1.4,5.7,-75,LD,285.9,315.7,-9,N
CENTRAL INDIA,9,VIDARBHA,3.6,9.3,-62,LD,474.1,503.5,-6,N
CENTRAL INDIA,10,CHHATTISGARH,2.4,12.4,-81,LD,565.6,580.7,-3,N
SOUTH PENINSULA,,(Region Total),11.8,6.9,72,LE,303.7,379.2,-20,D
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,12.3,11.7,5,N,849,829.9,2,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,2.3,5,-55,D,184.7,277.7,-33,D
SOUTH PENINSULA,3,TELANGANA,1.8,7.8,-76,LD,342,364.3,-6,N
SOUTH PENINSULA,4,RAYALASEEMA,1.6,3.9,-60,LD,108.7,171.8,-37,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,4.8,2.4,101,LE,106.7,125,-15,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,74.6,35.4,111,LE,1530.1,2021,-24,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,2.3,4.5,-48,D,205.9,230.6,-11,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,24.9,7.4,237,LE,295.7,364.8,-19,N
SOUTH PENINSULA,9,KERALA & MAHE,63.9,18.7,242,LE,996.7,1342,-26,D
SOUTH PENINSULA,10,LAKSHADWEEP,15.4,8.1,91,LE,445.8,641.3,-30,D
COUNTRY AS A WHOLE,,(Country Total),8,8.9,-10,N,410.1,463.6,-12,N
