Region,No,Subdivision,Day_Actual_mm,Day_Normal_mm,Day_%Dep,Day_Category,Period_Actual_mm,Period_Normal_mm,Period_%Dep,Period_Category
EAST AND NORTH EAST INDIA,,(Region Total),11.7,10.1,16,N,568.9,795.4,-28,D
EAST AND NORTH EAST INDIA,1,ARUNACHAL PRADESH,10.9,9.3,17,N,651.6,1025.1,-36,D
EAST AND NORTH EAST INDIA,2,ASSAM & MEGHALAYA,12.9,12.3,5,N,685.5,1088.1,-37,D
EAST AND NORTH EAST INDIA,3,NMMT,9.1,10.5,-13,N,583,751.6,-22,D
EAST AND NORTH EAST INDIA,4,SHWB & SIKKIM,23.4,11.4,106,LE,1097.5,1096.9,0,N
EAST AND NORTH EAST INDIA,5,GANGETIC WEST BENGAL,7.6,10.4,-27,D,626.3,635.9,-2,N
EAST AND NORTH EAST INDIA,6,JHARKHAND,6.3,10.6,-41,D,375.9,549.3,-32,D
EAST AND NORTH EAST INDIA,7,BIHAR,17.1,6.9,148,LE,320.4,538.2,-40,D
NORTH WEST INDIA,,(Region Total),8,7.1,13,N,275.9,316,-13,N
NORTH WEST INDIA,1,EAST UTTAR PRADESH,12.4,6.7,85,LE,281.3,415.6,-32,D
NORTH WEST INDIA,2,WEST UTTAR PRADESH,7.1,8,-11,N,285.3,348.6,-18,N
NORTH WEST INDIA,3,UTTARAKHAND,12.1,14,-13,N,613.5,651.2,-6,N
NORTH WEST INDIA,4,DELHI AND HARYANA AND CHANDIGARH,9.2,6.4,44,E,161.7,229.6,-30,D
NORTH WEST INDIA,5,PUNJAB,15.6,6.1,156,LE,160.9,242.9,-34,D
NORTH WEST INDIA,6,HIMACHAL PRADESH,8,10.1,-21,D,364.2,396.9,-8,N
NORTH WEST INDIA,7,JAMMU & KASHMIR AND LADAKH,5.4,7.3,-26,D,341,298.5,14,N
NORTH WEST INDIA,8,WEST RAJASTHAN,5.8,3.2,80,LE,146,160.3,-9,N
NORTH WEST INDIA,9,EAST RAJASTHAN,7.1,8.8,-20,D,262.7,333.4,-21,D
CENTRAL INDIA,,(Region Total),6.8,12.2,-44,D,553.5,536.9,3,N
CENTRAL INDIA,1,ODISHA,12,14.4,-17,N,757.4,600.7,26,E
CENTRAL INDIA,2,WEST MADHYA PRADESH,3.8,11.3,-66,LD,394.5,457.4,-14,N
CENTRAL INDIA,3,EAST MADHYA PRADESH,1.9,15.4,-88,LD,422.8,544.3,-22,D
CENTRAL INDIA,4,GUJARAT REGION,4.8,11.9,-59,D,725.9,523.4,39,E
CENTRAL INDIA,5,SAURASHTRA & KUTCH,0.4,5.6,-94,LD,290.6,313.5,-7,N
CENTRAL INDIA,6,KONKAN & GOA,26.2,33.7,-22,D,1864,1890.9,-1,N
CENTRAL INDIA,7,MADHYA MAHARASHTRA,10.4,7.6,37,E,576.1,419.3,37,E
CENTRAL INDIA,8,MARATHWADA,8.8,4.8,84,LE,296.8,326.1,-9,N
CENTRAL INDIA,9,VIDARBHA,2.8,11.6,-75,LD,477.2,526.1,-9,N
CENTRAL INDIA,10,CHHATTISGARH,9.7,15.8,-39,D,577.4,610.5,-5,N
SOUTH PENINSULA,,(Region Total),10.3,7.3,41,E,321.1,393,-18,N
SOUTH PENINSULA,1,ANDAMAN & NICOBAR ISLANDS,25.4,9.7,162,LE,885.6,853.7,4,N
SOUTH PENINSULA,2,COASTAL ANDHRA PRADESH & YANAM,4.9,6.5,-25,D,191,290.4,-34,D
SOUTH PENINSULA,3,TELANGANA,19.3,10.5,83,LE,368.1,383,-4,N
SOUTH PENINSULA,4,RAYALASEEMA,8.4,2.8,200,LE,118,177.1,-33,D
SOUTH PENINSULA,5,TAMILNADU & PUDUCHERRY & KARAIKAL,2.7,2.1,28,E,112.3,128.8,-13,N
SOUTH PENINSULA,6,COASTAL KARNATAKA,61.4,35.5,73,LE,1626.9,2090,-22,D
SOUTH PENINSULA,7,NORTHERN INTERIOR KARNATAKA,6.6,4.6,44,E,220.3,239.3,-8,N
SOUTH PENINSULA,8,SOUTHERN INTERIOR KARNATAKA,3.2,7.1,-54,D,300.1,378.2,-21,D
SOUTH PENINSULA,9,KERALA & MAHE,21.7,17.7,23,E,1063.6,1374.9,-23,D
SOUTH PENINSULA,10,LAKSHADWEEP,0.1,7.6,-99,LD,446.4,654.9,-32,D
COUNTRY AS A WHOLE,,(Country Total),8.6,9.3,-7,N,424.9,481.9,-12,N
